"county","state","median_income","cum_county","cum_median_income"
"Grand Traverse","Michigan","79,486","16.29%","23.93%"
"Morton","North Dakota","79,483","16.32%","23.96%"
"Bartow","Georgia","79,431","16.35%","24%"
"Kenton","Kentucky","79,421","16.38%","24.04%"
"Kenosha","Wisconsin","79,412","16.41%","24.08%"
"Mercer","North Dakota","79,405","16.45%","24.12%"
"Pike","Pennsylvania","79,318","16.48%","24.15%"
"Walton","Florida","79,281","16.51%","24.19%"
"St. Tammany Parish","Louisiana","79,277","16.54%","24.23%"
"Ward","North Dakota","79,273","16.57%","24.27%"
"Henry","Ohio","79,267","16.6%","24.31%"
"Ogle","Illinois","79,244","16.63%","24.34%"
"Kearney","Nebraska","79,167","16.66%","24.38%"
"Converse","Wyoming","79,164","16.69%","24.42%"
"Gosper","Nebraska","79,145","16.72%","24.46%"
"Posey","Indiana","79,124","16.75%","24.49%"
"Jersey","Illinois","79,104","16.79%","24.53%"
"Okaloosa","Florida","79,097","16.82%","24.57%"
"Lafayette","Missouri","79,091","16.85%","24.61%"
"Morgan","Indiana","79,088","16.88%","24.65%"
"Douglas","Nebraska","79,081","16.91%","24.68%"
"Cedar","Iowa","79,080","16.94%","24.72%"
"Franklin","Vermont","79,078","16.97%","24.76%"
"St. Clair","Alabama","78,993","17%","24.8%"
"Hughes","South Dakota","78,981","17.03%","24.83%"
"Perry","Pennsylvania","78,824","17.06%","24.87%"
"Greeley","Kansas","78,819","17.09%","24.91%"
"Madison","Mississippi","78,794","17.13%","24.95%"
"Sterling","Texas","78,750","17.16%","24.98%"
"Iredell","North Carolina","78,678","17.19%","25.02%"
"Livingston Parish","Louisiana","78,617","17.22%","25.06%"
"Skagway Municipality","Alaska","78,594","17.25%","25.1%"
"Kings","New York","78,548","17.28%","25.13%"
"Wagoner","Oklahoma","78,520","17.31%","25.17%"
"Lincoln","North Carolina","78,490","17.34%","25.21%"
"McLeod","Minnesota","78,468","17.37%","25.25%"
"Rockingham","Virginia","78,468","17.4%","25.28%"
"Robertson","Tennessee","78,439","17.43%","25.32%"
"Buchanan","Iowa","78,430","17.47%","25.36%"
"Salem","New Jersey","78,412","17.5%","25.4%"
"Mason","Washington","78,359","17.53%","25.43%"
"McLean","Illinois","78,329","17.56%","25.47%"
"Tipton","Indiana","78,309","17.59%","25.51%"
"Chelan","Washington","78,306","17.62%","25.55%"
"Cache","Utah","78,292","17.65%","25.58%"
"Stanton","Nebraska","78,275","17.68%","25.62%"
"Warren","New York","78,239","17.71%","25.66%"
"Providence","Rhode Island","78,204","17.74%","25.7%"
"Floyd","Indiana","78,179","17.77%","25.73%"
"Sussex","Delaware","78,162","17.81%","25.77%"
"Douglas","South Dakota","78,125","17.84%","25.81%"
"Marion","Iowa","78,059","17.87%","25.85%"
"Mercer","Ohio","78,036","17.9%","25.88%"
"Eaton","Michigan","78,025","17.93%","25.92%"
"Warren","Missouri","77,989","17.96%","25.96%"
"Lake","Ohio","77,952","17.99%","25.99%"
"Gray","Kansas","77,885","18.02%","26.03%"
"Laramie","Wyoming","77,884","18.05%","26.07%"
"Barry","Michigan","77,873","18.08%","26.11%"
"Putnam","West Virginia","77,871","18.11%","26.14%"
"Box Elder","Utah","77,865","18.15%","26.18%"
"Kenai Peninsula Borough","Alaska","77,722","18.18%","26.22%"
"McPherson","Kansas","77,701","18.21%","26.25%"
"Sargent","North Dakota","77,697","18.24%","26.29%"
"Rogers","Oklahoma","77,688","18.27%","26.33%"
"Berks","Pennsylvania","77,684","18.3%","26.37%"
"DeKalb","Georgia","77,683","18.33%","26.4%"
"Clay","Minnesota","77,664","18.36%","26.44%"
"Sauk","Wisconsin","77,648","18.39%","26.48%"
"Bedford","Virginia","77,644","18.42%","26.51%"
"Bullitt","Kentucky","77,640","18.45%","26.55%"
"Pinal","Arizona","77,588","18.49%","26.59%"
"Midland","Michigan","77,538","18.52%","26.63%"
"Putnam","Illinois","77,526","18.55%","26.66%"
"Red Lake","Minnesota","77,500","18.58%","26.7%"
"Moody","South Dakota","77,500","18.61%","26.74%"
"Lehigh","Pennsylvania","77,493","18.64%","26.77%"
"Brown","Wisconsin","77,490","18.67%","26.81%"
"Washington","Pennsylvania","77,487","18.7%","26.85%"
"Barrow","Georgia","77,477","18.73%","26.88%"
"Rankin","Mississippi","77,454","18.76%","26.92%"
"Hall","Georgia","77,430","18.79%","26.96%"
"Jefferson","Kansas","77,393","18.83%","27%"
"Nemaha","Kansas","77,375","18.86%","27.03%"
"Walworth","Wisconsin","77,359","18.89%","27.07%"
"Gunnison","Colorado","77,358","18.92%","27.11%"
"Clay","Texas","77,355","18.95%","27.14%"
"Boise","Idaho","77,349","18.98%","27.18%"
"Berkeley","West Virginia","77,329","19.01%","27.22%"
"Orange","Vermont","77,328","19.04%","27.25%"
"Campbell","Kentucky","77,271","19.07%","27.29%"
"Edmunds","South Dakota","77,266","19.1%","27.33%"
"Douglas","Minnesota","77,264","19.13%","27.36%"
"Hawaii","Hawaii","77,215","19.17%","27.4%"
"Burnet","Texas","77,158","19.2%","27.44%"
"Houston","Minnesota","77,087","19.23%","27.47%"
"Martin","Texas","77,083","19.26%","27.51%"
"Kootenai","Idaho","77,034","19.29%","27.55%"
"Harrison","Iowa","77,027","19.32%","27.59%"
"Saline","Nebraska","77,027","19.35%","27.62%"
"Petersburg Borough","Alaska","77,026","19.38%","27.66%"
"Orange","Florida","77,011","19.41%","27.7%"
"Stanley","South Dakota","77,000","19.44%","27.73%"
"Schenectady","New York","76,989","19.47%","27.77%"
"Oliver","North Dakota","76,953","19.51%","27.81%"
"Lampasas","Texas","76,919","19.54%","27.84%"
"Andrews","Texas","76,902","19.57%","27.88%"
"Dorchester","South Carolina","76,896","19.6%","27.92%"
"Worth","Iowa","76,875","19.63%","27.95%"
"Rich","Utah","76,875","19.66%","27.99%"
"Bingham","Idaho","76,842","19.69%","28.03%"
"Pender","North Carolina","76,838","19.72%","28.06%"
"Atlantic","New Jersey","76,819","19.75%","28.1%"
"Ottawa","Kansas","76,755","19.78%","28.14%"
"Essex","New Jersey","76,712","19.81%","28.17%"
"Tazewell","Illinois","76,704","19.85%","28.21%"
"Bonneville","Idaho","76,646","19.88%","28.25%"
"Nome Census Area","Alaska","76,643","19.91%","28.28%"
"Gaines","Texas","76,605","19.94%","28.32%"
"Jefferson","Montana","76,576","19.97%","28.36%"
"Fayette","Texas","76,541","20%","28.39%"
"Saline","Arkansas","76,534","20.03%","28.43%"
"Golden Valley","North Dakota","76,528","20.06%","28.47%"
"Archuleta","Colorado","76,524","20.09%","28.5%"
"Charlevoix","Michigan","76,495","20.12%","28.54%"
"Sweetwater","Wyoming","76,464","20.15%","28.57%"
"Auglaize","Ohio","76,454","20.19%","28.61%"
"Stearns","Minnesota","76,447","20.22%","28.65%"
"Linn","Iowa","76,421","20.25%","28.68%"
"Washington","Utah","76,411","20.28%","28.72%"
"Oldham","Texas","76,402","20.31%","28.76%"
"Macomb","Michigan","76,399","20.34%","28.79%"
"Allegheny","Pennsylvania","76,393","20.37%","28.83%"
"Scott","Iowa","76,363","20.4%","28.87%"
"Fillmore","Nebraska","76,354","20.43%","28.9%"
"Lebanon","Pennsylvania","76,350","20.46%","28.94%"
"Renville","North Dakota","76,311","20.49%","28.98%"
"Colonial Heights city","Virginia","76,250","20.53%","29.01%"
"Lapeer","Michigan","76,228","20.56%","29.05%"
"Polk","Wisconsin","76,208","20.59%","29.09%"
"Delaware","Iowa","76,205","20.62%","29.12%"
"Marathon","Wisconsin","76,185","20.65%","29.16%"
"Putnam","Indiana","76,182","20.68%","29.19%"
"Waller","Texas","76,135","20.71%","29.23%"
"Valley","Idaho","76,125","20.74%","29.27%"
"Sibley","Minnesota","76,082","20.77%","29.3%"
"Minnehaha","South Dakota","76,074","20.8%","29.34%"
"Benton","Oregon","76,011","20.83%","29.38%"
"Austin","Texas","75,994","20.87%","29.41%"
"Clay","Nebraska","75,938","20.9%","29.45%"
"Pierce","Nebraska","75,938","20.93%","29.48%"
"Sullivan","New Hampshire","75,929","20.96%","29.52%"
"Dubuque","Iowa","75,919","20.99%","29.56%"
"Oconto","Wisconsin","75,886","21.02%","29.59%"
"Brevard","Florida","75,817","21.05%","29.63%"
"Manatee","Florida","75,792","21.08%","29.67%"
"Whitley","Indiana","75,790","21.11%","29.7%"
"Grady","Oklahoma","75,730","21.14%","29.74%"
"Ottawa","Ohio","75,728","21.17%","29.77%"
"Davidson","Tennessee","75,664","21.21%","29.81%"
"Washington","Illinois","75,652","21.24%","29.85%"
"Winneshiek","Iowa","75,652","21.27%","29.88%"
"Lake","Minnesota","75,621","21.3%","29.92%"
"Elmore","Alabama","75,553","21.33%","29.95%"
"Madera","California","75,496","21.36%","29.99%"
"Mathews","Virginia","75,487","21.39%","30.03%"
"Sutter","California","75,450","21.42%","30.06%"
"Jerauld","South Dakota","75,417","21.45%","30.1%"
"Morgan","Colorado","75,407","21.48%","30.13%"
"Effingham","Illinois","75,380","21.51%","30.17%"
"Osage","Missouri","75,355","21.55%","30.21%"
"Racine","Wisconsin","75,331","21.58%","30.24%"
"Pickens","Georgia","75,293","21.61%","30.28%"
"Turner","South Dakota","75,283","21.64%","30.31%"
"Monroe","Michigan","75,272","21.67%","30.35%"
"Windsor","Vermont","75,247","21.7%","30.39%"
"Greenlee","Arizona","75,239","21.73%","30.42%"
"Fillmore","Minnesota","75,225","21.76%","30.46%"
"Colusa","California","75,149","21.79%","30.49%"
"Kandiyohi","Minnesota","75,097","21.82%","30.53%"
"Washington","Texas","75,085","21.85%","30.57%"
"Copper River Census Area","Alaska","75,053","21.89%","30.6%"
"Waseca","Minnesota","75,052","21.92%","30.64%"
"Meeker","Minnesota","75,037","21.95%","30.67%"
"Cass","North Dakota","75,023","21.98%","30.71%"
"Baldwin","Alabama","75,019","22.01%","30.75%"
"Lexington","South Carolina","75,014","22.04%","30.78%"
"Hillsborough","Florida","75,011","22.07%","30.82%"
"Sutton","Texas","75,000","22.1%","30.85%"
"Kane","Utah","75,000","22.13%","30.89%"
"Jo Daviess","Illinois","74,954","22.16%","30.92%"
"Franklin","Pennsylvania","74,946","22.19%","30.96%"
"Jessamine","Kentucky","74,886","22.23%","31%"
"Meade","Kansas","74,868","22.26%","31.03%"
"Madison","Illinois","74,800","22.29%","31.07%"
"Holmes","Ohio","74,774","22.32%","31.1%"
"Harding","South Dakota","74,766","22.35%","31.14%"
"Lancaster","South Carolina","74,751","22.38%","31.17%"
"Onondaga","New York","74,740","22.41%","31.21%"
"Duchesne","Utah","74,738","22.44%","31.25%"
"Johnson","Iowa","74,721","22.47%","31.28%"
"Santa Fe","New Mexico","74,689","22.5%","31.32%"
"Warren","Indiana","74,635","22.53%","31.35%"
"Marion","Oregon","74,624","22.57%","31.39%"
"Greenville","South Carolina","74,624","22.6%","31.42%"
"Blount","Tennessee","74,607","22.63%","31.46%"
"Dickinson","Iowa","74,570","22.66%","31.5%"
"Buffalo","Nebraska","74,570","22.69%","31.53%"
"Lewis and Clark","Montana","74,543","22.72%","31.57%"
"Pepin","Wisconsin","74,536","22.75%","31.6%"
"Broward","Florida","74,534","22.78%","31.64%"
"Ransom","North Dakota","74,521","22.81%","31.67%"
"Howard","Nebraska","74,508","22.84%","31.71%"
"Murray","Minnesota","74,475","22.87%","31.74%"
"Hutchinson","South Dakota","74,459","22.91%","31.78%"
"Cleveland","Oklahoma","74,446","22.94%","31.82%"
"Monroe","New York","74,409","22.97%","31.85%"
"Kent","Maryland","74,402","23%","31.89%"
"Yellowstone","Montana","74,400","23.03%","31.92%"
"Rock","Wisconsin","74,390","23.06%","31.96%"
"Hyde","South Dakota","74,279","23.09%","31.99%"
"West Feliciana Parish","Louisiana","74,277","23.12%","32.03%"
"Dillingham Census Area","Alaska","74,250","23.15%","32.06%"
"Champaign","Ohio","74,239","23.18%","32.1%"
"Decatur","Indiana","74,228","23.21%","32.13%"
"Southeast Fairbanks Census Area","Alaska","74,223","23.25%","32.17%"
"Douglas","Illinois","74,186","23.28%","32.21%"
"Wakulla","Florida","74,183","23.31%","32.24%"
"Miami","Ohio","74,175","23.34%","32.28%"
"Sherman","Texas","74,167","23.37%","32.31%"
"Maury","Tennessee","74,162","23.4%","32.35%"
"Meade","South Dakota","74,161","23.43%","32.38%"
"Dauphin","Pennsylvania","74,159","23.46%","32.42%"
"Washington","Maryland","74,157","23.49%","32.45%"
"Middlesex","Virginia","74,154","23.52%","32.49%"
"Dallas","Texas","74,149","23.55%","32.52%"
"Kearny","Kansas","74,135","23.59%","32.56%"
"Aurora","South Dakota","74,130","23.62%","32.59%"
"Sangamon","Illinois","74,114","23.65%","32.63%"
"York","Nebraska","74,058","23.68%","32.67%"
"Brule","South Dakota","74,043","23.71%","32.7%"
"Brunswick","North Carolina","74,034","23.74%","32.74%"
"Greene","New York","74,011","23.77%","32.77%"
"Chippewa","Wisconsin","74,009","23.8%","32.81%"
"Andrew","Missouri","74,007","23.83%","32.84%"
"Dodge","Wisconsin","73,992","23.86%","32.88%"
"Knox","Ohio","73,988","23.89%","32.91%"
"Cedar","Nebraska","73,977","23.93%","32.95%"
"Kosciusko","Indiana","73,922","23.96%","32.98%"
"Wayne","New York","73,914","23.99%","33.02%"
"San Juan","Colorado","73,889","24.02%","33.05%"
"Yankton","South Dakota","73,855","24.05%","33.09%"
"Clark","Nevada","73,845","24.08%","33.12%"
"Grant","South Dakota","73,818","24.11%","33.16%"
"Franklin","Ohio","73,795","24.14%","33.2%"
"Lake","South Dakota","73,792","24.17%","33.23%"
"Sevier","Utah","73,765","24.2%","33.27%"
"Fremont","Iowa","73,750","24.23%","33.3%"
"Newton","Georgia","73,732","24.27%","33.34%"
"Emmet","Michigan","73,724","24.3%","33.37%"
"Defiance","Ohio","73,615","24.33%","33.41%"
"Roseau","Minnesota","73,611","24.36%","33.44%"
"Thomas","Kansas","73,575","24.39%","33.48%"
"Spokane","Washington","73,513","24.42%","33.51%"
"Medina","Texas","73,462","24.45%","33.55%"
"Lyon","Nevada","73,460","24.48%","33.58%"
"Ionia","Michigan","73,436","24.51%","33.62%"
"Chickasaw","Iowa","73,421","24.54%","33.65%"
"Linn","Oregon","73,396","24.57%","33.69%"
"Trego","Kansas","73,375","24.61%","33.72%"
"Orange","Texas","73,372","24.64%","33.76%"
"Yuba","California","73,313","24.67%","33.79%"
"Sumter","Florida","73,297","24.7%","33.83%"
"Portage","Wisconsin","73,284","24.73%","33.86%"
"Cole","Missouri","73,273","24.76%","33.9%"
"Harvey","Kansas","73,269","24.79%","33.93%"
"Churchill","Nevada","73,268","24.82%","33.97%"
"Davie","North Carolina","73,234","24.85%","34%"
"Dickson","Tennessee","73,223","24.88%","34.04%"
"Kiowa","Kansas","73,214","24.91%","34.07%"
"Fond du Lac","Wisconsin","73,154","24.95%","34.11%"
"Madison","New York","73,141","24.98%","34.14%"
"Wood","Ohio","73,124","25.01%","34.18%"
"Harris","Texas","73,104","25.04%","34.21%"
"Lee","Florida","73,099","25.07%","34.25%"
"Eureka","Nevada","73,095","25.1%","34.28%"
"Jones","Iowa","73,071","25.13%","34.32%"
"Jefferson","Oregon","73,051","25.16%","34.35%"
"Treasure","Montana","73,036","25.19%","34.39%"
"Scott","Illinois","73,013","25.22%","34.42%"
"Tompkins","New York","73,012","25.26%","34.46%"
"Spink","South Dakota","73,011","25.29%","34.49%"
"Grant","Minnesota","72,957","25.32%","34.53%"
"Cowlitz","Washington","72,932","25.35%","34.56%"
"Pickaway","Ohio","72,927","25.38%","34.6%"
"Montour","Pennsylvania","72,926","25.41%","34.63%"
"Flagler","Florida","72,923","25.44%","34.66%"
"East Feliciana Parish","Louisiana","72,899","25.47%","34.7%"
"Union","Pennsylvania","72,894","25.5%","34.73%"
"New Hanover","North Carolina","72,892","25.53%","34.77%"
"Burleson","Texas","72,888","25.56%","34.8%"
"Lyon","Iowa","72,881","25.6%","34.84%"
"Winnebago","Wisconsin","72,873","25.63%","34.87%"
"Kent","Delaware","72,872","25.66%","34.91%"
"Fulton","Ohio","72,866","25.69%","34.94%"
"Wicomico","Maryland","72,861","25.72%","34.98%"
"King and Queen","Virginia","72,851","25.75%","35.01%"
"Doniphan","Kansas","72,833","25.78%","35.05%"
"Portage","Ohio","72,822","25.81%","35.08%"
"Shelby","Ohio","72,822","25.84%","35.12%"
"Marshall","Iowa","72,785","25.87%","35.15%"
"Fremont","Idaho","72,767","25.9%","35.19%"
"Lyon","Minnesota","72,761","25.94%","35.22%"
"Centre","Pennsylvania","72,748","25.97%","35.26%"
"Thomas","Nebraska","72,708","26%","35.29%"
"Jackson","Kansas","72,703","26.03%","35.33%"
"Custer","Colorado","72,700","26.06%","35.36%"
"Aleutians East Borough","Alaska","72,692","26.09%","35.39%"
"Callaway","Missouri","72,645","26.12%","35.43%"
"Brown","Indiana","72,644","26.15%","35.46%"
"Lancaster","Nebraska","72,625","26.18%","35.5%"
"Blue Earth","Minnesota","72,623","26.21%","35.53%"
"Rio Blanco","Colorado","72,620","26.24%","35.57%"
"Haines Borough","Alaska","72,607","26.28%","35.6%"
"Benzie","Michigan","72,603","26.31%","35.64%"
"Miner","South Dakota","72,589","26.34%","35.67%"
"Franklin","Massachusetts","72,584","26.37%","35.71%"
"Douglas","Wisconsin","72,579","26.4%","35.74%"
"Hamilton","Tennessee","72,568","26.43%","35.78%"
"Berkshire","Massachusetts","72,565","26.46%","35.81%"
"Oneida","Idaho","72,563","26.49%","35.85%"
"Pennington","Minnesota","72,561","26.52%","35.88%"
"Gilmer","Georgia","72,542","26.55%","35.91%"
"Hardin","Texas","72,532","26.58%","35.95%"
"Richland","North Dakota","72,524","26.62%","35.98%"
"Monroe","Iowa","72,518","26.65%","36.02%"
"Grant","Arkansas","72,512","26.68%","36.05%"
"Cameron Parish","Louisiana","72,500","26.71%","36.09%"
"Marshall","South Dakota","72,500","26.74%","36.12%"
"Grant","Kansas","72,484","26.77%","36.16%"
"Cooke","Texas","72,472","26.8%","36.19%"
"Harrison","Indiana","72,468","26.83%","36.23%"
"Westmoreland","Pennsylvania","72,468","26.86%","36.26%"
"Livingston","New York","72,464","26.89%","36.3%"
"Finney","Kansas","72,437","26.92%","36.33%"
"Inyo","California","72,432","26.96%","36.36%"
"Catoosa","Georgia","72,425","26.99%","36.4%"
"Camden","Georgia","72,399","27.02%","36.43%"
"Lumpkin","Georgia","72,388","27.05%","36.47%"
"Montgomery","Tennessee","72,365","27.08%","36.5%"
"Canyon","Idaho","72,355","27.11%","36.54%"
"Rockdale","Georgia","72,349","27.14%","36.57%"
"Washington","New York","72,342","27.17%","36.61%"
"Platte","Nebraska","72,335","27.2%","36.64%"
"Dallam","Texas","72,332","27.23%","36.68%"
"Carroll","Georgia","72,327","27.26%","36.71%"
"Clark","Indiana","72,298","27.3%","36.74%"
"White Pine","Nevada","72,294","27.33%","36.78%"
"Brown","Illinois","72,288","27.36%","36.81%"
"Fallon","Montana","72,284","27.39%","36.85%"
"LaSalle","Illinois","72,281","27.42%","36.88%"
"Tuolumne","California","72,259","27.45%","36.92%"
"Walla Walla","Washington","72,212","27.48%","36.95%"
"Pope","Minnesota","72,205","27.51%","36.99%"
"Iowa","Iowa","72,185","27.54%","37.02%"
"Ray","Missouri","72,152","27.57%","37.05%"
"Franklin","Kansas","72,142","27.6%","37.09%"
"Lafayette","Wisconsin","72,091","27.64%","37.12%"
"Genesee","New York","72,055","27.67%","37.16%"
"Hand","South Dakota","72,054","27.7%","37.19%"
"Hemphill","Texas","72,052","27.73%","37.23%"
"Lincoln","Maine","72,026","27.76%","37.26%"
"Pershing","Nevada","72,007","27.79%","37.3%"
"Franklin","Missouri","71,973","27.82%","37.33%"
"Archer","Texas","71,958","27.85%","37.36%"
"Shasta","California","71,931","27.88%","37.4%"
"Smith","Texas","71,923","27.91%","37.43%"
"Dubois","Indiana","71,918","27.94%","37.47%"
"Kanabec","Minnesota","71,915","27.98%","37.5%"
"Knox","Maine","71,903","28.01%","37.54%"
"Sheboygan","Wisconsin","71,898","28.04%","37.57%"
"Wyandot","Ohio","71,878","28.07%","37.6%"
"Calhoun","Texas","71,870","28.1%","37.64%"
"McCone","Montana","71,842","28.13%","37.67%"
"Eau Claire","Wisconsin","71,834","28.16%","37.71%"
"Carson City","Nevada","71,809","28.19%","37.74%"
"Tioga","New York","71,791","28.22%","37.78%"
"Door","Wisconsin","71,785","28.25%","37.81%"
"Dunn","Wisconsin","71,785","28.28%","37.84%"
"Polk","Nebraska","71,771","28.32%","37.88%"
"Wayne","Ohio","71,769","28.35%","37.91%"
"Hamilton","Iowa","71,750","28.38%","37.95%"
"Anderson","Kentucky","71,747","28.41%","37.98%"
"Tipton","Tennessee","71,736","28.44%","38.02%"
"Potter","South Dakota","71,726","28.47%","38.05%"
"Ward","Texas","71,719","28.5%","38.08%"
"Mercer","Illinois","71,710","28.53%","38.12%"
"Marshall","Minnesota","71,701","28.56%","38.15%"
"Moultrie","Illinois","71,676","28.59%","38.19%"
"Knox","Tennessee","71,662","28.62%","38.22%"
"Dakota","Nebraska","71,655","28.66%","38.26%"
"Logan","Nebraska","71,650","28.69%","38.29%"
"Cook","Minnesota","71,643","28.72%","38.32%"
"Lac qui Parle","Minnesota","71,639","28.75%","38.36%"
"Jackson","Iowa","71,605","28.78%","38.39%"
"Yellow Medicine","Minnesota","71,573","28.81%","38.43%"
"Columbia","Washington","71,528","28.84%","38.46%"
"Mower","Minnesota","71,495","28.87%","38.5%"
"Bennington","Vermont","71,494","28.9%","38.53%"
"Mesa","Colorado","71,485","28.93%","38.56%"
"Steuben","Indiana","71,483","28.96%","38.6%"
"Benton","Minnesota","71,480","29%","38.63%"
"Nez Perce","Idaho","71,466","29.03%","38.67%"
"Surry","Virginia","71,458","29.06%","38.7%"
"Howard","Texas","71,457","29.09%","38.73%"
"Mille Lacs","Minnesota","71,455","29.12%","38.77%"
"Lonoke","Arkansas","71,449","29.15%","38.8%"
"Pottawattamie","Iowa","71,446","29.18%","38.84%"
"Jackson","Oregon","71,443","29.21%","38.87%"
"Lipscomb","Texas","71,442","29.24%","38.9%"
"Fresno","California","71,434","29.27%","38.94%"
"Antrim","Michigan","71,421","29.3%","38.97%"
"Kent","Texas","71,420","29.34%","39.01%"
"Logan","Kansas","71,389","29.37%","39.04%"
"Franklin","North Carolina","71,386","29.4%","39.07%"
"Boone","Nebraska","71,367","29.43%","39.11%"
"Crow Wing","Minnesota","71,343","29.46%","39.14%"
"Washington","Iowa","71,339","29.49%","39.18%"
"Flathead","Montana","71,327","29.52%","39.21%"
"Ravalli","Montana","71,323","29.55%","39.25%"
"Shelby","Indiana","71,301","29.58%","39.28%"
"Trempealeau","Wisconsin","71,295","29.61%","39.31%"
"Dodge","Nebraska","71,294","29.64%","39.35%"
"Wichita","Kansas","71,282","29.68%","39.38%"
"Banner","Nebraska","71,250","29.71%","39.42%"
"Natrona","Wyoming","71,247","29.74%","39.45%"
"Missoula","Montana","71,246","29.77%","39.48%"
"Preble","Ohio","71,237","29.8%","39.52%"
"Lincoln","Washington","71,227","29.83%","39.55%"
"Crook","Wyoming","71,209","29.86%","39.59%"
"Waupaca","Wisconsin","71,189","29.89%","39.62%"
"Schoharie","New York","71,188","29.92%","39.65%"
"Erie","New York","71,175","29.95%","39.69%"
"Jefferson","Washington","71,143","29.98%","39.72%"
"Becker","Minnesota","71,117","30.02%","39.76%"
"Grant","Washington","71,115","30.05%","39.79%"
"Jasper","Illinois","71,094","30.08%","39.82%"
"Ripley","Indiana","71,084","30.11%","39.86%"
"Stevens","Minnesota","71,060","30.14%","39.89%"
"Indian River","Florida","71,049","30.17%","39.92%"
"Morrow","Ohio","71,047","30.2%","39.96%"
"Ector","Texas","71,031","30.23%","39.99%"
"Carbon","Montana","71,017","30.26%","40.03%"
"Summit","Ohio","71,016","30.29%","40.06%"
"Sac","Iowa","70,991","30.32%","40.09%"
"Moffat","Colorado","70,975","30.36%","40.13%"
"Granville","North Carolina","70,975","30.39%","40.16%"
"Dawson","Montana","70,953","30.42%","40.2%"
"Otter Tail","Minnesota","70,912","30.45%","40.23%"
"Chaffee","Colorado","70,909","30.48%","40.26%"
"Noble","Indiana","70,908","30.51%","40.3%"
"Spencer","Indiana","70,890","30.54%","40.33%"
"Millard","Utah","70,877","30.57%","40.37%"
"Sheridan","Wyoming","70,855","30.6%","40.4%"
"Baker","Florida","70,833","30.63%","40.43%"
"Marshall","Tennessee","70,829","30.66%","40.47%"
"Marshall","Kansas","70,828","30.7%","40.5%"
"Hettinger","North Dakota","70,827","30.73%","40.53%"
"Hamilton","Ohio","70,816","30.76%","40.57%"
"Livingston","Illinois","70,796","30.79%","40.6%"
"Montgomery","Virginia","70,769","30.82%","40.64%"
"Pennington","South Dakota","70,768","30.85%","40.67%"
"Cuming","Nebraska","70,708","30.88%","40.7%"
"La Crosse","Wisconsin","70,704","30.91%","40.74%"
"Rock","Minnesota","70,698","30.94%","40.77%"
"Lorain","Ohio","70,693","30.97%","40.8%"
"Clark","Illinois","70,625","31%","40.84%"
"Clinton","Missouri","70,625","31.04%","40.87%"
"Bailey","Texas","70,625","31.07%","40.91%"
"Hubbard","Minnesota","70,622","31.1%","40.94%"
"Kingfisher","Oklahoma","70,617","31.13%","40.97%"
"Bethel Census Area","Alaska","70,616","31.16%","41.01%"
"Watonwan","Minnesota","70,593","31.19%","41.04%"
"Buncombe","North Carolina","70,578","31.22%","41.07%"
"Bexar","Texas","70,571","31.25%","41.11%"
"McLean","Kentucky","70,549","31.28%","41.14%"
"Wabaunsee","Kansas","70,536","31.31%","41.18%"
"Harlan","Nebraska","70,536","31.34%","41.21%"
"Hampden","Massachusetts","70,535","31.38%","41.24%"
"Park","Wyoming","70,533","31.41%","41.28%"
"Kalamazoo","Michigan","70,525","31.44%","41.31%"
"Ford","Kansas","70,495","31.47%","41.34%"
"Dolores","Colorado","70,490","31.5%","41.38%"
"Glenn","California","70,487","31.53%","41.41%"
"Grayson","Texas","70,455","31.56%","41.44%"
"LaPorte","Indiana","70,452","31.59%","41.48%"
"Klickitat","Washington","70,400","31.62%","41.51%"
"Stanton","Kansas","70,361","31.65%","41.55%"
"Charles City","Virginia","70,339","31.68%","41.58%"
"Pinellas","Florida","70,293","31.72%","41.61%"
"Reagan","Texas","70,288","31.75%","41.65%"
"Wyoming","Pennsylvania","70,268","31.78%","41.68%"
"LaMoure","North Dakota","70,263","31.81%","41.71%"
"Sully","South Dakota","70,250","31.84%","41.75%"
"Brown","South Dakota","70,239","31.87%","41.78%"
"Carteret","North Carolina","70,235","31.9%","41.81%"
"Barnes","North Dakota","70,230","31.93%","41.85%"
"Kingsbury","South Dakota","70,221","31.96%","41.88%"
"Morrow","Oregon","70,217","31.99%","41.91%"
"Osage","Kansas","70,216","32.02%","41.95%"
"Essex","New York","70,215","32.06%","41.98%"
"Hancock","Iowa","70,212","32.09%","42.02%"
"Jackson","Indiana","70,208","32.12%","42.05%"
"Williamsburg city","Virginia","70,206","32.15%","42.08%"
"Nuckolls","Nebraska","70,201","32.18%","42.12%"
"Winona","Minnesota","70,198","32.21%","42.15%"
"King","Texas","70,192","32.24%","42.18%"
"Bay","Florida","70,188","32.27%","42.22%"
"St. Clair","Illinois","70,178","32.3%","42.25%"
"Meade","Kentucky","70,163","32.33%","42.28%"
"Beaver","Pennsylvania","70,156","32.36%","42.32%"
"Woodbury","Iowa","70,147","32.4%","42.35%"
"Jasper","Iowa","70,128","32.43%","42.38%"
"Hunt","Texas","70,112","32.46%","42.42%"
"Victoria","Texas","70,101","32.49%","42.45%"
"Lake of the Woods","Minnesota","70,091","32.52%","42.48%"
"DeKalb","Indiana","70,080","32.55%","42.52%"
"Wayne","Utah","70,074","32.58%","42.55%"
"Noble","Oklahoma","70,071","32.61%","42.58%"
