"county","state","estimated_house_price","cum_county","cum_estimated_house_price"
"Beaverhead","Montana","337,586","16.54%","36%"
"Johnson","Texas","337,186","16.57%","36.05%"
"Tarrant","Texas","336,904","16.6%","36.09%"
"Guadalupe","Texas","336,714","16.63%","36.14%"
"Benton","Arkansas","336,542","16.66%","36.19%"
"Coos","Oregon","335,956","16.69%","36.23%"
"Benewah","Idaho","335,816","16.72%","36.28%"
"Morgan","Colorado","335,794","16.75%","36.32%"
"Walworth","Wisconsin","334,799","16.79%","36.37%"
"Volusia","Florida","334,654","16.82%","36.41%"
"Northumberland","Virginia","334,562","16.85%","36.46%"
"Pennington","South Dakota","334,281","16.88%","36.5%"
"Tulare","California","333,618","16.91%","36.55%"
"Pacific","Washington","333,531","16.94%","36.59%"
"Lake","California","332,905","16.97%","36.64%"
"Chambers","Texas","332,626","17%","36.68%"
"Asotin","Washington","332,624","17.03%","36.73%"
"Suffolk city","Virginia","332,587","17.06%","36.77%"
"Aransas","Texas","332,539","17.09%","36.82%"
"Nye","Nevada","332,453","17.13%","36.86%"
"Lumpkin","Georgia","332,224","17.16%","36.91%"
"McKenzie","North Dakota","332,202","17.19%","36.95%"
"Richmond city","Virginia","331,506","17.22%","36.99%"
"Henry","Georgia","330,969","17.25%","37.04%"
"Haines Borough","Alaska","330,749","17.28%","37.08%"
"Camas","Idaho","330,727","17.31%","37.13%"
"Orange","Virginia","330,589","17.34%","37.17%"
"Kern","California","329,822","17.37%","37.22%"
"Elko","Nevada","328,647","17.4%","37.26%"
"Galveston","Texas","328,180","17.43%","37.31%"
"Kent","Maryland","327,945","17.47%","37.35%"
"Baltimore","Maryland","327,866","17.5%","37.39%"
"Dickson","Tennessee","327,847","17.53%","37.44%"
"Caldwell","Texas","327,264","17.56%","37.48%"
"Kings","California","326,139","17.59%","37.53%"
"St. Charles","Missouri","326,011","17.62%","37.57%"
"Sierra","California","325,940","17.65%","37.61%"
"Franklin","Vermont","325,576","17.68%","37.66%"
"Pierce","Wisconsin","325,532","17.71%","37.7%"
"Berkshire","Massachusetts","325,526","17.74%","37.75%"
"Warren","Virginia","325,270","17.77%","37.79%"
"Dunn","North Dakota","325,101","17.81%","37.83%"
"Blount","Tennessee","325,095","17.84%","37.88%"
"Washington","Idaho","324,868","17.87%","37.92%"
"Bannock","Idaho","324,299","17.9%","37.97%"
"Codington","South Dakota","324,072","17.93%","38.01%"
"Brazoria","Texas","323,991","17.96%","38.05%"
"Cecil","Maryland","323,960","17.99%","38.1%"
"Burleigh","North Dakota","323,730","18.02%","38.14%"
"Elmore","Idaho","323,551","18.05%","38.18%"
"Becker","Minnesota","323,546","18.08%","38.23%"
"Douglas","Oregon","323,491","18.11%","38.27%"
"Fluvanna","Virginia","323,351","18.15%","38.31%"
"Miami","Kansas","323,067","18.18%","38.36%"
"Yakima","Washington","322,416","18.21%","38.4%"
"Fremont","Colorado","322,342","18.24%","38.45%"
"Barrow","Georgia","322,126","18.27%","38.49%"
"Camden","North Carolina","321,881","18.3%","38.53%"
"Greene","Virginia","321,868","18.33%","38.58%"
"Southeast Fairbanks Census Area","Alaska","321,769","18.36%","38.62%"
"Glynn","Georgia","321,613","18.39%","38.66%"
"Pike","Georgia","321,397","18.42%","38.71%"
"Orange","Vermont","321,285","18.45%","38.75%"
"Geauga","Ohio","321,261","18.49%","38.79%"
"Macon","North Carolina","321,241","18.52%","38.84%"
"Augusta","Virginia","321,209","18.55%","38.88%"
"Medina","Texas","321,128","18.58%","38.92%"
"Fairfield","Ohio","320,978","18.61%","38.97%"
"Lancaster","Pennsylvania","320,596","18.64%","39.01%"
"Wayne","Ohio","320,475","18.67%","39.05%"
"Kent","Delaware","319,935","18.7%","39.09%"
"Williams","North Dakota","319,908","18.73%","39.14%"
"Oakland","Michigan","319,860","18.76%","39.18%"
"New Castle","Delaware","319,694","18.79%","39.22%"
"Stanley","South Dakota","319,601","18.83%","39.27%"
"Spencer","Kentucky","319,400","18.86%","39.31%"
"Dallas","Texas","319,254","18.89%","39.35%"
"Ashe","North Carolina","318,888","18.92%","39.4%"
"Grays Harbor","Washington","318,557","18.95%","39.44%"
"Gooding","Idaho","318,491","18.98%","39.48%"
"Gloucester","Virginia","318,382","19.01%","39.52%"
"Idaho","Idaho","318,294","19.04%","39.57%"
"Nelson","Virginia","318,038","19.07%","39.61%"
"Cassia","Idaho","317,943","19.1%","39.65%"
"Hernando","Florida","317,598","19.13%","39.7%"
"Lake","Illinois","317,464","19.17%","39.74%"
"Holmes","Ohio","317,119","19.2%","39.78%"
"Olmsted","Minnesota","316,891","19.23%","39.82%"
"Sarpy","Nebraska","316,804","19.26%","39.87%"
"Greene","New York","316,777","19.29%","39.91%"
"Kendall","Illinois","316,633","19.32%","39.95%"
"Polk","Florida","316,600","19.35%","40%"
"Tehama","California","316,494","19.38%","40.04%"
"West Feliciana Parish","Louisiana","316,351","19.41%","40.08%"
"McCormick","South Carolina","316,211","19.44%","40.12%"
"Union","South Dakota","316,000","19.47%","40.17%"
"Knox","Tennessee","315,738","19.51%","40.21%"
"Custer","Idaho","315,577","19.54%","40.25%"
"Haywood","North Carolina","315,567","19.57%","40.29%"
"Hendricks","Indiana","315,273","19.6%","40.34%"
"Hamilton","Tennessee","315,106","19.63%","40.38%"
"Crow Wing","Minnesota","314,974","19.66%","40.42%"
"Ramsey","Minnesota","314,947","19.69%","40.46%"
"Harris","Georgia","314,796","19.72%","40.51%"
"Trinity","California","314,636","19.75%","40.55%"
"Cheshire","New Hampshire","314,353","19.78%","40.59%"
"Brown","Indiana","313,585","19.81%","40.63%"
"Sullivan","New Hampshire","313,533","19.85%","40.68%"
"Isanti","Minnesota","313,311","19.88%","40.72%"
"Antrim","Michigan","313,288","19.91%","40.76%"
"Greenville","South Carolina","313,261","19.94%","40.8%"
"Saunders","Nebraska","312,804","19.97%","40.84%"
"Imperial","California","312,554","20%","40.89%"
"White","Georgia","312,394","20.03%","40.93%"
"Will","Illinois","311,638","20.06%","40.97%"
"Stone","Missouri","311,501","20.09%","41.01%"
"Delaware","Pennsylvania","311,185","20.12%","41.05%"
"Campbell","South Dakota","311,157","20.15%","41.1%"
"Prince George","Virginia","311,102","20.19%","41.14%"
"Winchester city","Virginia","310,867","20.22%","41.18%"
"San Juan","Utah","310,842","20.25%","41.22%"
"Clay","North Carolina","310,543","20.28%","41.26%"
"Le Sueur","Minnesota","310,505","20.31%","41.31%"
"Gloucester","New Jersey","310,440","20.34%","41.35%"
"Duval","Florida","308,999","20.37%","41.39%"
"Douglas","Georgia","308,972","20.4%","41.43%"
"Horry","South Carolina","308,862","20.43%","41.47%"
"Rice","Minnesota","308,799","20.46%","41.51%"
"Rockdale","Georgia","308,672","20.49%","41.56%"
"Sawyer","Wisconsin","308,605","20.53%","41.6%"
"Madison","Mississippi","308,090","20.56%","41.64%"
"Kane","Illinois","308,009","20.59%","41.68%"
"Wrangell City and Borough","Alaska","307,800","20.62%","41.72%"
"Franklin","Massachusetts","307,464","20.65%","41.76%"
"Washington","Arkansas","307,275","20.68%","41.8%"
"Hamlin","South Dakota","307,151","20.71%","41.85%"
"Garrett","Maryland","306,546","20.74%","41.89%"
"Northampton","Pennsylvania","306,250","20.77%","41.93%"
"Centre","Pennsylvania","306,161","20.8%","41.97%"
"Bernalillo","New Mexico","305,943","20.83%","42.01%"
"Columbia","Georgia","305,912","20.87%","42.05%"
"LaGrange","Indiana","305,475","20.9%","42.09%"
"Caroline","Virginia","305,138","20.93%","42.14%"
"Mason","Texas","304,961","20.96%","42.18%"
"Campbell","Wyoming","304,861","20.99%","42.22%"
"Oneida","Idaho","304,695","21.02%","42.26%"
"Grimes","Texas","304,260","21.05%","42.3%"
"Bedford","Virginia","303,801","21.08%","42.34%"
"Atlantic","New Jersey","303,435","21.11%","42.38%"
"Rockingham","Virginia","303,250","21.14%","42.42%"
"Marshall","Tennessee","303,024","21.17%","42.46%"
"Franklin","Virginia","302,534","21.21%","42.5%"
"Chatham","Georgia","302,350","21.24%","42.54%"
"Limestone","Alabama","301,970","21.27%","42.59%"
"Banner","Nebraska","301,908","21.3%","42.63%"
"Lampasas","Texas","301,738","21.33%","42.67%"
"Bartow","Georgia","301,464","21.36%","42.71%"
"Lincoln","Washington","301,368","21.39%","42.75%"
"Madison","Alabama","301,286","21.42%","42.79%"
"Butler","Pennsylvania","301,090","21.45%","42.83%"
"Cass","North Dakota","300,775","21.48%","42.87%"
"Douglas","Minnesota","300,656","21.51%","42.91%"
"Okanogan","Washington","300,592","21.55%","42.95%"
"Cass","Missouri","300,556","21.58%","42.99%"
"Franklin","Texas","300,542","21.61%","43.03%"
"Montgomery","Virginia","300,502","21.64%","43.07%"
"Camden","Missouri","300,228","21.67%","43.11%"
"Cass","Minnesota","299,867","21.7%","43.15%"
"Boone","Kentucky","299,774","21.73%","43.19%"
"Kent","Michigan","298,698","21.76%","43.23%"
"Warren","New York","298,464","21.79%","43.27%"
"Banks","Georgia","298,421","21.82%","43.31%"
"Waldo","Maine","298,183","21.85%","43.35%"
"Goodhue","Minnesota","298,098","21.89%","43.39%"
"Polk","Wisconsin","298,057","21.92%","43.43%"
"Caribou","Idaho","297,889","21.95%","43.47%"
"Garfield","Utah","297,530","21.98%","43.52%"
"Moore","Tennessee","297,384","22.01%","43.56%"
"Mathews","Virginia","297,357","22.04%","43.6%"
"Uinta","Wyoming","297,331","22.07%","43.64%"
"Plaquemines Parish","Louisiana","297,302","22.1%","43.68%"
"Montgomery","Tennessee","296,963","22.13%","43.72%"
"Minnehaha","South Dakota","296,922","22.16%","43.76%"
"Albany","New York","296,879","22.19%","43.8%"
"Erath","Texas","296,843","22.23%","43.84%"
"Baker","Florida","296,547","22.26%","43.88%"
"Millard","Utah","296,414","22.29%","43.92%"
"Trousdale","Tennessee","296,363","22.32%","43.96%"
"Lehigh","Pennsylvania","296,150","22.35%","44%"
"Lavaca","Texas","295,883","22.38%","44.04%"
"Licking","Ohio","295,777","22.41%","44.08%"
"King William","Virginia","295,510","22.44%","44.11%"
"Sauk","Wisconsin","295,489","22.47%","44.15%"
"Hancock","Indiana","295,254","22.5%","44.19%"
"Lincoln","Idaho","295,197","22.53%","44.23%"
"Pueblo","Colorado","295,084","22.57%","44.27%"
"McHenry","Illinois","294,982","22.6%","44.31%"
"Duchesne","Utah","294,872","22.63%","44.35%"
"Medina","Ohio","294,590","22.66%","44.39%"
"Shenandoah","Virginia","293,921","22.69%","44.43%"
"Warren","Iowa","293,758","22.72%","44.47%"
"Treasure","Montana","293,656","22.75%","44.51%"
"Cumberland","Pennsylvania","293,632","22.78%","44.55%"
"Calumet","Wisconsin","293,606","22.81%","44.59%"
"Leon","Texas","293,572","22.84%","44.63%"
"Rio Arriba","New Mexico","293,478","22.87%","44.67%"
"Sevier","Utah","293,348","22.91%","44.71%"
"Dodge","Minnesota","293,347","22.94%","44.75%"
"Jefferson","Wisconsin","293,198","22.97%","44.79%"
"Newton","Georgia","292,787","23%","44.83%"
"Cooke","Texas","292,650","23.03%","44.87%"
"Deuel","South Dakota","292,639","23.06%","44.91%"
"Uintah","Utah","292,469","23.09%","44.95%"
"Union","Oregon","292,436","23.12%","44.99%"
"Alachua","Florida","292,327","23.15%","45.03%"
"Lexington city","Virginia","292,123","23.18%","45.07%"
"Tompkins","New York","291,865","23.21%","45.1%"
"Hunt","Texas","291,110","23.25%","45.14%"
"Umatilla","Oregon","291,092","23.28%","45.18%"
"Bedford","Tennessee","290,803","23.31%","45.22%"
"Columbia","Wisconsin","290,757","23.34%","45.26%"
"Brazos","Texas","290,742","23.37%","45.3%"
"Morgan","Missouri","290,717","23.4%","45.34%"
"Leavenworth","Kansas","290,526","23.43%","45.38%"
"Clarke","Georgia","290,460","23.46%","45.42%"
"Monroe","Georgia","290,404","23.49%","45.46%"
"Fairbanks North Star Borough","Alaska","290,349","23.52%","45.5%"
"Porter","Indiana","290,313","23.55%","45.54%"
"Rutland","Vermont","290,176","23.59%","45.57%"
"St. Tammany Parish","Louisiana","289,878","23.62%","45.61%"
"Otter Tail","Minnesota","289,852","23.65%","45.65%"
"Minidoka","Idaho","289,689","23.68%","45.69%"
"Humboldt","Nevada","289,584","23.71%","45.73%"
"Glasscock","Texas","289,402","23.74%","45.77%"
"Midland","Texas","289,247","23.77%","45.81%"
"Fremont","Wyoming","288,764","23.8%","45.85%"
"Lee","Alabama","288,676","23.83%","45.89%"
"Siskiyou","California","288,670","23.86%","45.93%"
"Hampden","Massachusetts","288,617","23.89%","45.96%"
"Madison","Iowa","288,594","23.93%","46%"
"Effingham","Georgia","287,561","23.96%","46.04%"
"Warren","Missouri","287,537","23.99%","46.08%"
"Harris","Texas","287,208","24.02%","46.12%"
"Yancey","North Carolina","287,079","24.05%","46.16%"
"Christian","Missouri","286,907","24.08%","46.2%"
"Johnson","Indiana","286,594","24.11%","46.24%"
"Shoshone","Idaho","286,551","24.14%","46.27%"
"Beaver","Utah","286,438","24.17%","46.31%"
"Monroe","Indiana","286,318","24.2%","46.35%"
"Washington","Maryland","286,035","24.23%","46.39%"
"Richland","Montana","285,856","24.27%","46.43%"
"Saguache","Colorado","285,702","24.3%","46.47%"
"DeSoto","Mississippi","285,579","24.33%","46.51%"
"Roanoke","Virginia","285,464","24.36%","46.54%"
"Granville","North Carolina","284,935","24.39%","46.58%"
"Cook","Illinois","284,753","24.42%","46.62%"
"Boone","Missouri","284,614","24.45%","46.66%"
"Douglas","Kansas","284,215","24.48%","46.7%"
"Apache","Arizona","284,066","24.51%","46.74%"
"Clearwater","Idaho","284,039","24.54%","46.77%"
"Shelby","Kentucky","284,015","24.57%","46.81%"
"Caroline","Maryland","283,154","24.61%","46.85%"
"Monroe","Pennsylvania","283,055","24.64%","46.89%"
"Lafayette","Mississippi","283,027","24.67%","46.93%"
"Woodford","Kentucky","283,019","24.7%","46.97%"
"Pope","Minnesota","282,744","24.73%","47%"
"Gaston","North Carolina","282,397","24.76%","47.04%"
"Adams","Pennsylvania","282,260","24.79%","47.08%"
"Marion","Florida","282,234","24.82%","47.12%"
"Clay","Missouri","281,443","24.85%","47.16%"
"Putnam","Tennessee","281,327","24.88%","47.19%"
"Camden","New Jersey","281,186","24.91%","47.23%"
"Berkeley","West Virginia","281,174","24.95%","47.27%"
"Allegan","Michigan","281,060","24.98%","47.31%"
"Cascade","Montana","281,058","25.01%","47.34%"
"Citrus","Florida","280,525","25.04%","47.38%"
"Adams","Washington","280,449","25.07%","47.42%"
"Hubbard","Minnesota","280,413","25.1%","47.46%"
"Alamosa","Colorado","280,191","25.13%","47.5%"
"Madison","Ohio","279,985","25.16%","47.53%"
"Davie","North Carolina","279,941","25.19%","47.57%"
"Grayson","Texas","279,889","25.22%","47.61%"
"Morton","North Dakota","279,880","25.26%","47.65%"
"Brown","Wisconsin","279,816","25.29%","47.68%"
"Rio Blanco","Colorado","279,574","25.32%","47.72%"
"Stearns","Minnesota","279,528","25.35%","47.76%"
"La Paz","Arizona","279,383","25.38%","47.8%"
"Hart","Georgia","279,352","25.41%","47.84%"
"Morrow","Oregon","279,056","25.44%","47.87%"
"Swain","North Carolina","279,049","25.47%","47.91%"
"Clermont","Ohio","279,023","25.5%","47.95%"
"Scott","Kentucky","278,917","25.53%","47.99%"
"Botetourt","Virginia","278,906","25.56%","48.02%"
"Ferry","Washington","278,806","25.6%","48.06%"
"Iowa","Wisconsin","278,731","25.63%","48.1%"
"Harrisonburg city","Virginia","278,639","25.66%","48.14%"
"Pickaway","Ohio","278,598","25.69%","48.17%"
"Teton","Montana","278,469","25.72%","48.21%"
"Nicollet","Minnesota","278,290","25.75%","48.25%"
"Westmoreland","Virginia","277,533","25.78%","48.29%"
"Oxford","Maine","277,325","25.81%","48.32%"
"Walker","Texas","277,153","25.84%","48.36%"
"Fayette","Kentucky","276,897","25.87%","48.4%"
"Wakulla","Florida","276,733","25.9%","48.44%"
"Androscoggin","Maine","276,693","25.94%","48.47%"
"Jefferson","Tennessee","276,629","25.97%","48.51%"
"Dearborn","Indiana","276,598","26%","48.55%"
"Mille Lacs","Minnesota","276,459","26.03%","48.58%"
"Pottawatomie","Kansas","276,053","26.06%","48.62%"
"Baker","Oregon","275,957","26.09%","48.66%"
"Johnson","Iowa","275,846","26.12%","48.7%"
"Washburn","Wisconsin","275,703","26.15%","48.73%"
"Dolores","Colorado","275,682","26.18%","48.77%"
"Franklin","Tennessee","275,346","26.21%","48.81%"
"Madison","Georgia","275,289","26.24%","48.84%"
"Brookings","South Dakota","274,910","26.28%","48.88%"
"Bexar","Texas","274,878","26.31%","48.92%"
"Monroe","Illinois","274,759","26.34%","48.96%"
"Rains","Texas","274,487","26.37%","48.99%"
"Eau Claire","Wisconsin","274,233","26.4%","49.03%"
"Cass","Nebraska","273,994","26.43%","49.07%"
"Smith","Tennessee","273,967","26.46%","49.1%"
"Bayfield","Wisconsin","273,567","26.49%","49.14%"
"Hopkins","Texas","273,293","26.52%","49.18%"
"Valencia","New Mexico","273,069","26.55%","49.21%"
"Steuben","Indiana","272,741","26.58%","49.25%"
"Henderson","Texas","272,667","26.62%","49.29%"
"Oliver","North Dakota","272,435","26.65%","49.32%"
"Oneida","Wisconsin","272,344","26.68%","49.36%"
"Jasper","Georgia","272,301","26.71%","49.4%"
"Converse","Wyoming","272,213","26.74%","49.43%"
"Carroll","Georgia","272,203","26.77%","49.47%"
"Dunn","Wisconsin","272,164","26.8%","49.51%"
"Orleans Parish","Louisiana","272,117","26.83%","49.54%"
"Caledonia","Vermont","271,984","26.86%","49.58%"
"Leon","Florida","271,854","26.89%","49.62%"
"Blue Earth","Minnesota","271,680","26.92%","49.65%"
"Outagamie","Wisconsin","271,646","26.96%","49.69%"
"Norfolk city","Virginia","271,628","26.99%","49.73%"
"Cannon","Tennessee","271,615","27.02%","49.76%"
"Power","Idaho","271,468","27.05%","49.8%"
"Logan","Oklahoma","271,255","27.08%","49.84%"
"Harnett","North Carolina","271,247","27.11%","49.87%"
"Meagher","Montana","271,071","27.14%","49.91%"
"Gilchrist","Florida","270,593","27.17%","49.95%"
"Malheur","Oregon","270,549","27.2%","49.98%"
"Habersham","Georgia","270,429","27.23%","50.02%"
"Seward","Nebraska","270,382","27.26%","50.06%"
"Lancaster","Nebraska","270,174","27.3%","50.09%"
"Clay","Minnesota","270,127","27.33%","50.13%"
"St. Clair","Alabama","270,088","27.36%","50.17%"
"Rockbridge","Virginia","269,898","27.39%","50.2%"
"Fall River","South Dakota","269,672","27.42%","50.24%"
"Amelia","Virginia","269,415","27.45%","50.28%"
"La Crosse","Wisconsin","269,257","27.48%","50.31%"
"Real","Texas","269,234","27.51%","50.35%"
"Buffalo","Nebraska","269,227","27.54%","50.38%"
"Wayne","Pennsylvania","269,020","27.57%","50.42%"
"Wabasha","Minnesota","268,969","27.6%","50.46%"
"Van Zandt","Texas","268,233","27.64%","50.49%"
"DeKalb","Tennessee","268,182","27.67%","50.53%"
"Franklin","Ohio","268,137","27.7%","50.57%"
"Klamath","Oregon","267,770","27.73%","50.6%"
"Escambia","Florida","267,764","27.76%","50.64%"
"Bradley","Tennessee","267,550","27.79%","50.67%"
"Pickens","South Carolina","267,384","27.82%","50.71%"
"Natrona","Wyoming","267,375","27.85%","50.75%"
"Stark","North Dakota","267,099","27.88%","50.78%"
"Winneshiek","Iowa","267,013","27.91%","50.82%"
"Grant","Oregon","266,987","27.94%","50.85%"
"McPherson","Nebraska","266,963","27.98%","50.89%"
"Wheeler","Oregon","266,878","28.01%","50.93%"
"Yuma","Arizona","266,801","28.04%","50.96%"
"Columbia","Washington","266,740","28.07%","51%"
"Cherokee","North Carolina","266,504","28.1%","51.03%"
"Oglethorpe","Georgia","266,223","28.13%","51.07%"
"Clinton","Michigan","266,143","28.16%","51.1%"
"Powell","Montana","266,057","28.19%","51.14%"
"Chippewa","Wisconsin","266,019","28.22%","51.18%"
"Burleson","Texas","265,617","28.25%","51.21%"
"Moody","South Dakota","265,421","28.28%","51.25%"
"Green","Wisconsin","265,271","28.32%","51.28%"
"Levy","Florida","264,712","28.35%","51.32%"
"Palo Pinto","Texas","264,662","28.38%","51.36%"
"Cumberland","Tennessee","264,587","28.41%","51.39%"
"Jefferson Parish","Louisiana","264,387","28.44%","51.43%"
"Yankton","South Dakota","264,373","28.47%","51.46%"
"Jefferson","Florida","264,363","28.5%","51.5%"
"Benton","Minnesota","264,335","28.53%","51.53%"
"Bell","Texas","264,149","28.56%","51.57%"
"Lincoln","Missouri","264,149","28.59%","51.6%"
"Wood","Texas","263,991","28.62%","51.64%"
"Stanly","North Carolina","263,983","28.66%","51.68%"
"Camden","Georgia","263,833","28.69%","51.71%"
"Kennebec","Maine","263,481","28.72%","51.75%"
"Madison","Texas","263,478","28.75%","51.78%"
"Sullivan","New York","263,213","28.78%","51.82%"
"Graham","Arizona","262,965","28.81%","51.85%"
"Jessamine","Kentucky","262,912","28.84%","51.89%"
"Coffee","Tennessee","262,858","28.87%","51.92%"
"McCook","South Dakota","262,425","28.9%","51.96%"
"Warren","Kentucky","262,405","28.93%","52%"
"Rio Grande","Colorado","262,228","28.96%","52.03%"
"Lake","South Dakota","262,081","29%","52.07%"
"Morgan","Indiana","262,040","29.03%","52.1%"
"Grundy","Illinois","261,998","29.06%","52.14%"
"Orleans","Vermont","261,610","29.09%","52.17%"
"Butler","Ohio","261,437","29.12%","52.21%"
"McLennan","Texas","261,260","29.15%","52.24%"
"Rensselaer","New York","260,940","29.18%","52.28%"
"Alamance","North Carolina","260,889","29.21%","52.31%"
"Douglas","Nebraska","260,498","29.24%","52.35%"
"McClain","Oklahoma","260,237","29.27%","52.38%"
"Morrison","Minnesota","260,230","29.3%","52.42%"
"Houston","Minnesota","260,057","29.34%","52.45%"
"Huerfano","Colorado","260,027","29.37%","52.49%"
"Atascosa","Texas","259,850","29.4%","52.52%"
"Lebanon","Pennsylvania","259,468","29.43%","52.56%"
"Mills","Iowa","259,397","29.46%","52.59%"
"Fannin","Texas","259,330","29.49%","52.63%"
"Essex","Virginia","259,236","29.52%","52.66%"
"Sioux","Iowa","258,958","29.55%","52.7%"
"Kimble","Texas","258,655","29.58%","52.73%"
"Meeker","Minnesota","258,655","29.61%","52.77%"
"Colonial Heights city","Virginia","258,636","29.64%","52.8%"
"Gosper","Nebraska","258,565","29.68%","52.84%"
"Doña Ana","New Mexico","258,486","29.71%","52.87%"
"Hughes","South Dakota","258,382","29.74%","52.91%"
"Lapeer","Michigan","258,026","29.77%","52.94%"
"Lewis","Idaho","257,878","29.8%","52.98%"
"Santa Cruz","Arizona","257,844","29.83%","53.01%"
"Washington","Tennessee","257,548","29.86%","53.05%"
"Sibley","Minnesota","257,085","29.89%","53.08%"
"Forsyth","North Carolina","257,016","29.92%","53.12%"
"Moffat","Colorado","256,685","29.95%","53.15%"
"Ascension Parish","Louisiana","256,542","29.98%","53.18%"
"Kenosha","Wisconsin","256,093","30.02%","53.22%"
"York","Pennsylvania","256,065","30.05%","53.25%"
"St. Charles Parish","Louisiana","255,926","30.08%","53.29%"
"Butts","Georgia","255,926","30.11%","53.32%"
"Berks","Pennsylvania","255,751","30.14%","53.36%"
"Johnson","Missouri","255,562","30.17%","53.39%"
"Sweetwater","Wyoming","255,401","30.2%","53.43%"
"Morgan","West Virginia","255,370","30.23%","53.46%"
"Kewaunee","Wisconsin","254,952","30.26%","53.49%"
"Franklin","Indiana","254,910","30.29%","53.53%"
"Pike","Pennsylvania","254,746","30.32%","53.56%"
"McLeod","Minnesota","254,582","30.36%","53.6%"
"Franklin","Pennsylvania","254,397","30.39%","53.63%"
"Catawba","North Carolina","254,339","30.42%","53.67%"
"Portage","Wisconsin","254,206","30.45%","53.7%"
"San Jacinto","Texas","254,188","30.48%","53.73%"
"Bullitt","Kentucky","254,125","30.51%","53.77%"
"Morrow","Ohio","254,123","30.54%","53.8%"
"Perry","Pennsylvania","254,083","30.57%","53.84%"
"Meigs","Tennessee","253,859","30.6%","53.87%"
"Rogers","Oklahoma","253,718","30.63%","53.91%"
"Catoosa","Georgia","253,691","30.66%","53.94%"
"Lee","North Carolina","253,631","30.7%","53.97%"
"Onslow","North Carolina","253,250","30.73%","54.01%"
"Steele","Minnesota","253,206","30.76%","54.04%"
"Taney","Missouri","253,038","30.79%","54.08%"
"Oconee","South Carolina","252,998","30.82%","54.11%"
"Wagoner","Oklahoma","252,990","30.85%","54.15%"
"Grand Forks","North Dakota","252,779","30.88%","54.18%"
"Smith","Texas","252,776","30.91%","54.21%"
"Big Horn","Wyoming","252,771","30.94%","54.25%"
"Hendry","Florida","252,538","30.97%","54.28%"
"DeSoto","Florida","252,483","31%","54.32%"
"Essex","New York","252,375","31.04%","54.35%"
"Dinwiddie","Virginia","252,330","31.07%","54.38%"
"Milam","Texas","252,045","31.1%","54.42%"
"Burnett","Wisconsin","252,034","31.13%","54.45%"
"Okeechobee","Florida","251,749","31.16%","54.49%"
"Yates","New York","251,642","31.19%","54.52%"
"Platte","Wyoming","251,615","31.22%","54.55%"
"Polk","Iowa","251,540","31.25%","54.59%"
"Alleghany","North Carolina","251,420","31.28%","54.62%"
"Ontario","New York","251,383","31.31%","54.65%"
"Jeff Davis","Texas","251,315","31.34%","54.69%"
"Spartanburg","South Carolina","251,263","31.38%","54.72%"
"Kanabec","Minnesota","250,984","31.41%","54.76%"
"Carlton","Minnesota","250,955","31.44%","54.79%"
"Guilford","North Carolina","250,607","31.47%","54.82%"
"Greene","Ohio","250,587","31.5%","54.86%"
"Page","Virginia","250,289","31.53%","54.89%"
"Montour","Pennsylvania","250,056","31.56%","54.93%"
"Campbell","Kentucky","250,027","31.59%","54.96%"
"Newport News city","Virginia","249,468","31.62%","54.99%"
"Lexington","South Carolina","249,359","31.65%","55.03%"
"Cochise","Arizona","249,022","31.68%","55.06%"
"Rowan","North Carolina","249,002","31.72%","55.09%"
"Dodge","Wisconsin","248,990","31.75%","55.13%"
"Brewster","Texas","248,495","31.78%","55.16%"
"Franklin","Georgia","248,265","31.81%","55.19%"
"St. Louis","Missouri","248,167","31.84%","55.23%"
"Silver Bow","Montana","248,059","31.87%","55.26%"
"Franklin","Maine","247,749","31.9%","55.29%"
"Columbia","Florida","247,645","31.93%","55.33%"
"Appomattox","Virginia","247,595","31.96%","55.36%"
"Story","Iowa","247,496","31.99%","55.39%"
"Judith Basin","Montana","247,375","32.02%","55.43%"
"Turner","South Dakota","247,373","32.06%","55.46%"
"Barry","Michigan","247,243","32.09%","55.49%"
"Canadian","Oklahoma","247,190","32.12%","55.53%"
"Kosciusko","Indiana","247,146","32.15%","55.56%"
"Roane","Tennessee","246,767","32.18%","55.59%"
"Hamilton","New York","246,660","32.21%","55.63%"
"Floyd","Indiana","246,568","32.24%","55.66%"
"Delaware","Oklahoma","246,462","32.27%","55.69%"
"Anderson","Tennessee","246,428","32.3%","55.73%"
"Edgefield","South Carolina","246,300","32.33%","55.76%"
"Winnebago","Wisconsin","246,157","32.36%","55.79%"
"Platte","Nebraska","246,135","32.4%","55.83%"
"Union","Pennsylvania","245,604","32.43%","55.86%"
"Schenectady","New York","245,600","32.46%","55.89%"
"Waynesboro city","Virginia","245,567","32.49%","55.93%"
"Lincoln","Colorado","245,425","32.52%","55.96%"
"Pine","Minnesota","245,342","32.55%","55.99%"
"Sioux","Nebraska","245,284","32.58%","56.03%"
"Salem city","Virginia","245,049","32.61%","56.06%"
"Jefferson","Missouri","244,784","32.64%","56.09%"
"Warrick","Indiana","244,702","32.67%","56.12%"
"Fergus","Montana","244,469","32.7%","56.16%"
"Racine","Wisconsin","244,366","32.74%","56.19%"
"McDowell","North Carolina","244,341","32.77%","56.22%"
"Tippecanoe","Indiana","244,248","32.8%","56.26%"
"King and Queen","Virginia","244,053","32.83%","56.29%"
