"county","state","mean_income","cum_county","cum_mean_income"
"Lincoln","Wyoming","102,285","16.32%","23.78%"
"Gunnison","Colorado","102,255","16.35%","23.82%"
"Kodiak Island Borough","Alaska","102,245","16.38%","23.85%"
"Christian","Missouri","102,125","16.41%","23.89%"
"Grand Traverse","Michigan","102,115","16.45%","23.93%"
"Shelby","Kentucky","102,077","16.48%","23.96%"
"Sullivan","New Hampshire","102,029","16.51%","24%"
"Marshall","South Dakota","101,999","16.54%","24.04%"
"Loudon","Tennessee","101,958","16.57%","24.08%"
"Oldham","Texas","101,922","16.6%","24.11%"
"Washington","Texas","101,919","16.63%","24.15%"
"Steele","Minnesota","101,912","16.66%","24.19%"
"Cass","North Dakota","101,854","16.69%","24.22%"
"Sullivan","New York","101,841","16.72%","24.26%"
"Caroline","Virginia","101,829","16.75%","24.3%"
"Northumberland","Virginia","101,818","16.79%","24.33%"
"Isanti","Minnesota","101,811","16.82%","24.37%"
"Woodford","Kentucky","101,773","16.85%","24.41%"
"Brevard","Florida","101,758","16.88%","24.44%"
"Linn","Iowa","101,721","16.91%","24.48%"
"Gillespie","Texas","101,721","16.94%","24.52%"
"Providence","Rhode Island","101,714","16.97%","24.56%"
"Morgan","Indiana","101,705","17%","24.59%"
"Scott","Iowa","101,656","17.03%","24.63%"
"Sutter","California","101,655","17.06%","24.67%"
"Pinellas","Florida","101,629","17.09%","24.7%"
"Dinwiddie","Virginia","101,604","17.13%","24.74%"
"Columbia","Oregon","101,574","17.16%","24.78%"
"Pike","Pennsylvania","101,573","17.19%","24.81%"
"Elko","Nevada","101,551","17.22%","24.85%"
"Lumpkin","Georgia","101,512","17.25%","24.89%"
"York","Pennsylvania","101,502","17.28%","24.92%"
"Flagler","Florida","101,501","17.31%","24.96%"
"Aurora","South Dakota","101,472","17.34%","25%"
"Bedford","Virginia","101,435","17.37%","25.03%"
"Rutherford","Tennessee","101,352","17.4%","25.07%"
"Ward","North Dakota","101,341","17.43%","25.11%"
"Bartholomew","Indiana","101,323","17.47%","25.14%"
"Knox","Tennessee","101,286","17.5%","25.18%"
"Sagadahoc","Maine","101,281","17.53%","25.22%"
"East Feliciana Parish","Louisiana","101,271","17.56%","25.26%"
"Yoakum","Texas","101,220","17.59%","25.29%"
"Warren","New York","101,211","17.62%","25.33%"
"Jefferson","Washington","101,205","17.65%","25.37%"
"Hartley","Texas","101,180","17.68%","25.4%"
"Cavalier","North Dakota","101,179","17.71%","25.44%"
"Cheshire","New Hampshire","101,172","17.74%","25.48%"
"Hamlin","South Dakota","101,165","17.77%","25.51%"
"Somervell","Texas","101,081","17.81%","25.55%"
"Berks","Pennsylvania","101,044","17.84%","25.59%"
"LaGrange","Indiana","101,036","17.87%","25.62%"
"Kiowa","Kansas","101,036","17.9%","25.66%"
"Clark","Nevada","101,010","17.93%","25.7%"
"Juab","Utah","100,958","17.96%","25.73%"
"Camden","North Carolina","100,944","17.99%","25.77%"
"Henry","Georgia","100,936","18.02%","25.8%"
"Plaquemines Parish","Louisiana","100,882","18.05%","25.84%"
"Otoe","Nebraska","100,837","18.08%","25.88%"
"Cache","Utah","100,825","18.11%","25.91%"
"Kent","Maryland","100,801","18.15%","25.95%"
"Botetourt","Virginia","100,728","18.18%","25.99%"
"Monroe","New York","100,724","18.21%","26.02%"
"Lake","South Dakota","100,698","18.24%","26.06%"
"Goodhue","Minnesota","100,638","18.27%","26.1%"
"Barry","Michigan","100,618","18.3%","26.13%"
"Floyd","Indiana","100,571","18.33%","26.17%"
"West Baton Rouge Parish","Louisiana","100,545","18.36%","26.21%"
"Wood","Ohio","100,535","18.39%","26.24%"
"Lewis and Clark","Montana","100,531","18.42%","26.28%"
"Northwest Arctic Borough","Alaska","100,502","18.45%","26.32%"
"Minnehaha","South Dakota","100,454","18.49%","26.35%"
"Nelson","Virginia","100,430","18.52%","26.39%"
"Crook","Oregon","100,428","18.55%","26.43%"
"Guthrie","Iowa","100,399","18.58%","26.46%"
"Rockingham","Virginia","100,367","18.61%","26.5%"
"Chaffee","Colorado","100,353","18.64%","26.53%"
"Marion","Iowa","100,349","18.67%","26.57%"
"Fallon","Montana","100,253","18.7%","26.61%"
"Monroe","Pennsylvania","100,240","18.73%","26.64%"
"Franklin","Texas","100,219","18.76%","26.68%"
"Mathews","Virginia","100,156","18.79%","26.72%"
"Baldwin","Alabama","100,105","18.83%","26.75%"
"Glynn","Georgia","100,024","18.86%","26.79%"
"Door","Wisconsin","99,914","18.89%","26.83%"
"Phillips","Colorado","99,893","18.92%","26.86%"
"Cooke","Texas","99,881","18.95%","26.9%"
"Allegan","Michigan","99,705","18.98%","26.93%"
"Salem","New Jersey","99,663","19.01%","26.97%"
"Hanson","South Dakota","99,652","19.04%","27.01%"
"Benton","Iowa","99,622","19.07%","27.04%"
"Putnam","Ohio","99,572","19.1%","27.08%"
"Colfax","Nebraska","99,488","19.13%","27.11%"
"Madera","California","99,476","19.17%","27.15%"
"Kenosha","Wisconsin","99,465","19.2%","27.19%"
"Seward","Nebraska","99,411","19.23%","27.22%"
"Bonneville","Idaho","99,403","19.26%","27.26%"
"Brown","Wisconsin","99,390","19.29%","27.29%"
"Ward","Texas","99,358","19.32%","27.33%"
"Lafayette","Mississippi","99,327","19.35%","27.37%"
"Laramie","Wyoming","99,326","19.38%","27.4%"
"Johnson","Texas","99,310","19.41%","27.44%"
"Rogers","Oklahoma","99,296","19.44%","27.47%"
"Stark","North Dakota","99,254","19.47%","27.51%"
"Greene","New York","99,219","19.51%","27.55%"
"Madison","Ohio","99,213","19.54%","27.58%"
"Centre","Pennsylvania","99,196","19.57%","27.62%"
"Douglas","Minnesota","99,168","19.6%","27.65%"
"Ness","Kansas","99,145","19.63%","27.69%"
"Onondaga","New York","99,134","19.66%","27.73%"
"Schenectady","New York","99,121","19.69%","27.76%"
"Holmes","Ohio","99,080","19.72%","27.8%"
"Union","New Mexico","99,074","19.75%","27.83%"
"Lancaster","Nebraska","99,064","19.78%","27.87%"
"Adams","Pennsylvania","98,943","19.81%","27.91%"
"Lake","Ohio","98,936","19.85%","27.94%"
"Summit","Ohio","98,907","19.88%","27.98%"
"Dubuque","Iowa","98,871","19.91%","28.01%"
"Dickinson","Iowa","98,855","19.94%","28.05%"
"Rains","Texas","98,847","19.97%","28.09%"
"Butler","Kansas","98,834","20%","28.12%"
"Columbia","Wisconsin","98,820","20.03%","28.16%"
"Buncombe","North Carolina","98,793","20.06%","28.19%"
"Perkins","South Dakota","98,722","20.09%","28.23%"
"Lincoln","Maine","98,711","20.12%","28.26%"
"Putnam","West Virginia","98,681","20.15%","28.3%"
"Brunswick","North Carolina","98,633","20.19%","28.34%"
"Weston","Wyoming","98,625","20.22%","28.37%"
"Sweetwater","Wyoming","98,608","20.25%","28.41%"
"Wabasha","Minnesota","98,579","20.28%","28.44%"
"Henry","Ohio","98,578","20.31%","28.48%"
"Johnston","North Carolina","98,557","20.34%","28.52%"
"Spokane","Washington","98,513","20.37%","28.55%"
"Dickey","North Dakota","98,454","20.4%","28.59%"
"Archer","Texas","98,442","20.43%","28.62%"
"Fayette","Kentucky","98,429","20.46%","28.66%"
"Douglas","Georgia","98,426","20.49%","28.69%"
"Bastrop","Texas","98,377","20.53%","28.73%"
"Georgetown","South Carolina","98,299","20.56%","28.77%"
"Kootenai","Idaho","98,298","20.59%","28.8%"
"Lancaster","Virginia","98,274","20.62%","28.84%"
"Nome Census Area","Alaska","98,246","20.65%","28.87%"
"DeSoto","Mississippi","98,245","20.68%","28.91%"
"Dauphin","Pennsylvania","98,206","20.71%","28.94%"
"Petersburg Borough","Alaska","98,129","20.74%","28.98%"
"Colorado","Texas","98,115","20.77%","29.01%"
"Eddy","New Mexico","98,075","20.8%","29.05%"
"Skagway Municipality","Alaska","98,060","20.83%","29.09%"
"McLeod","Minnesota","98,060","20.87%","29.12%"
"Nemaha","Kansas","98,052","20.9%","29.16%"
"Warren","Missouri","97,919","20.93%","29.19%"
"Hamilton","Nebraska","97,863","20.96%","29.23%"
"Missoula","Montana","97,840","20.99%","29.26%"
"Stanton","Nebraska","97,831","21.02%","29.3%"
"Becker","Minnesota","97,828","21.05%","29.33%"
"Cheatham","Tennessee","97,824","21.08%","29.37%"
"Mason","Washington","97,813","21.11%","29.41%"
"Jefferson","Wisconsin","97,779","21.14%","29.44%"
"McCook","South Dakota","97,710","21.17%","29.48%"
"Sangamon","Illinois","97,695","21.21%","29.51%"
"Richland","North Dakota","97,675","21.24%","29.55%"
"Madison","Illinois","97,667","21.27%","29.58%"
"Adams","Iowa","97,667","21.3%","29.62%"
"Lamar","Mississippi","97,646","21.33%","29.65%"
"Archuleta","Colorado","97,641","21.36%","29.69%"
"Boone","Iowa","97,592","21.39%","29.72%"
"Jersey","Illinois","97,570","21.42%","29.76%"
"King William","Virginia","97,561","21.45%","29.79%"
"McLean","North Dakota","97,533","21.48%","29.83%"
"Winneshiek","Iowa","97,497","21.51%","29.87%"
"Iowa","Wisconsin","97,487","21.55%","29.9%"
"Stearns","Minnesota","97,399","21.58%","29.94%"
"Menard","Illinois","97,365","21.61%","29.97%"
"Tuolumne","California","97,299","21.64%","30.01%"
"Sargent","North Dakota","97,234","21.67%","30.04%"
"Goliad","Texas","97,209","21.7%","30.08%"
"Jefferson","Alabama","97,165","21.73%","30.11%"
"Rankin","Mississippi","97,152","21.76%","30.15%"
"Pender","North Carolina","97,152","21.79%","30.18%"
"Crockett","Texas","97,081","21.82%","30.22%"
"Pinal","Arizona","97,007","21.85%","30.25%"
"Fresno","California","97,005","21.89%","30.29%"
"Brown","Indiana","96,976","21.92%","30.32%"
"Wagoner","Oklahoma","96,963","21.95%","30.36%"
"Racine","Wisconsin","96,943","21.98%","30.39%"
"Eau Claire","Wisconsin","96,941","22.01%","30.43%"
"Kalamazoo","Michigan","96,937","22.04%","30.46%"
"Tulsa","Oklahoma","96,856","22.07%","30.5%"
"Clay","Minnesota","96,841","22.1%","30.53%"
"Gray","Kansas","96,744","22.13%","30.57%"
"LaMoure","North Dakota","96,684","22.16%","30.6%"
"Benzie","Michigan","96,668","22.19%","30.64%"
"Dorchester","South Carolina","96,656","22.23%","30.67%"
"Dixon","Nebraska","96,634","22.26%","30.71%"
"Dearborn","Indiana","96,630","22.29%","30.74%"
"Macomb","Michigan","96,605","22.32%","30.78%"
"Green","Wisconsin","96,605","22.35%","30.81%"
"Cleveland","Oklahoma","96,578","22.38%","30.85%"
"Putnam","Georgia","96,575","22.41%","30.89%"
"Thomas","Kansas","96,561","22.44%","30.92%"
"Klickitat","Washington","96,485","22.47%","30.96%"
"Madison","New York","96,461","22.5%","30.99%"
"Garrett","Maryland","96,458","22.53%","31.03%"
"Elmore","Alabama","96,359","22.57%","31.06%"
"Shasta","California","96,355","22.6%","31.09%"
"Lorain","Ohio","96,343","22.63%","31.13%"
"Jefferson","Missouri","96,337","22.66%","31.16%"
"Kingfisher","Oklahoma","96,314","22.69%","31.2%"
"Powder River","Montana","96,304","22.72%","31.23%"
"Walla Walla","Washington","96,277","22.75%","31.27%"
"Monroe","Michigan","96,199","22.78%","31.3%"
"Bingham","Idaho","96,148","22.81%","31.34%"
"Smith","Texas","96,148","22.84%","31.37%"
"Harlan","Nebraska","96,144","22.87%","31.41%"
"Butte","California","96,124","22.91%","31.44%"
"Austin","Texas","96,058","22.94%","31.48%"
"Lander","Nevada","96,037","22.97%","31.51%"
"Itawamba","Mississippi","95,997","23%","31.55%"
"Tioga","New York","95,984","23.03%","31.58%"
"Delaware","Iowa","95,969","23.06%","31.62%"
"Carlton","Minnesota","95,960","23.09%","31.65%"
"Marion","Oregon","95,954","23.12%","31.69%"
"Park","Montana","95,941","23.15%","31.72%"
"Lebanon","Pennsylvania","95,935","23.18%","31.76%"
"Jefferson","Kentucky","95,889","23.21%","31.79%"
"Doddridge","West Virginia","95,860","23.25%","31.83%"
"Coconino","Arizona","95,848","23.28%","31.86%"
"Jefferson","Idaho","95,822","23.31%","31.9%"
"Natrona","Wyoming","95,793","23.34%","31.93%"
"Franklin","Vermont","95,791","23.37%","31.97%"
"Pepin","Wisconsin","95,774","23.4%","32%"
"Lincoln","Missouri","95,743","23.43%","32.04%"
"Lapeer","Michigan","95,711","23.46%","32.07%"
"Knox","Maine","95,678","23.49%","32.1%"
"Wicomico","Maryland","95,675","23.52%","32.14%"
"Harrison","Iowa","95,657","23.55%","32.17%"
"Tazewell","Illinois","95,638","23.59%","32.21%"
"Effingham","Illinois","95,615","23.62%","32.24%"
"Bexar","Texas","95,613","23.65%","32.28%"
"Houston","Minnesota","95,566","23.68%","32.31%"
"Franklin","Pennsylvania","95,559","23.71%","32.35%"
"Blount","Tennessee","95,542","23.74%","32.38%"
"Marathon","Wisconsin","95,540","23.77%","32.42%"
"Burleson","Texas","95,502","23.8%","32.45%"
"Berkeley","West Virginia","95,488","23.83%","32.49%"
"Louisa","Iowa","95,468","23.86%","32.52%"
"La Crosse","Wisconsin","95,451","23.89%","32.56%"
"Pennington","South Dakota","95,438","23.93%","32.59%"
"Washington","Maryland","95,432","23.96%","32.62%"
"Chatham","Georgia","95,384","23.99%","32.66%"
"Eaton","Michigan","95,377","24.02%","32.69%"
"Jefferson","Kansas","95,339","24.05%","32.73%"
"Sibley","Minnesota","95,336","24.08%","32.76%"
"Davie","North Carolina","95,329","24.11%","32.8%"
"Lexington","South Carolina","95,320","24.14%","32.83%"
"Kittitas","Washington","95,281","24.17%","32.87%"
"Hand","South Dakota","95,268","24.2%","32.9%"
"Robertson","Tennessee","95,255","24.23%","32.94%"
"Lexington city","Virginia","95,202","24.27%","32.97%"
"Posey","Indiana","95,179","24.3%","33%"
"Houston","Georgia","95,174","24.33%","33.04%"
"Perry","Pennsylvania","95,139","24.36%","33.07%"
"Kane","Utah","95,094","24.39%","33.11%"
"Grundy","Iowa","95,092","24.42%","33.14%"
"Erie","New York","95,092","24.45%","33.18%"
"Orange","Texas","95,090","24.48%","33.21%"
"Westmoreland","Pennsylvania","95,075","24.51%","33.25%"
"Boone","Missouri","95,070","24.54%","33.28%"
"Story","Iowa","95,068","24.57%","33.32%"
"Sauk","Wisconsin","95,062","24.61%","33.35%"
"Humboldt","Nevada","95,024","24.64%","33.38%"
"Washington","Arkansas","95,012","24.67%","33.42%"
"Sweet Grass","Montana","94,999","24.7%","33.45%"
"Davis","Iowa","94,991","24.73%","33.49%"
"Lampasas","Texas","94,987","24.76%","33.52%"
"Greeley","Kansas","94,983","24.79%","33.56%"
"Winkler","Texas","94,977","24.82%","33.59%"
"Lafayette Parish","Louisiana","94,948","24.85%","33.63%"
"East Baton Rouge Parish","Louisiana","94,856","24.88%","33.66%"
"Cumberland","New Jersey","94,856","24.91%","33.69%"
"Grayson","Texas","94,814","24.95%","33.73%"
"Flathead","Montana","94,808","24.98%","33.76%"
"Clark","Kentucky","94,803","25.01%","33.8%"
"Fannin","Texas","94,746","25.04%","33.83%"
"Cass","Michigan","94,695","25.07%","33.87%"
"Richmond city","Virginia","94,647","25.1%","33.9%"
"Orange","Vermont","94,637","25.13%","33.93%"
"Treasure","Montana","94,624","25.16%","33.97%"
"Fulton","Ohio","94,622","25.19%","34%"
"Kerr","Texas","94,608","25.22%","34.04%"
"Foster","North Dakota","94,603","25.26%","34.07%"
"Kewaunee","Wisconsin","94,566","25.29%","34.11%"
"Box Elder","Utah","94,546","25.32%","34.14%"
"Mercer","North Dakota","94,487","25.35%","34.17%"
"Sheridan","Montana","94,455","25.38%","34.21%"
"Cimarron","Oklahoma","94,401","25.41%","34.24%"
"Bartow","Georgia","94,388","25.44%","34.28%"
"Portage","Ohio","94,386","25.47%","34.31%"
"Miami","Ohio","94,300","25.5%","34.35%"
"Gulf","Florida","94,247","25.53%","34.38%"
"Carbon","Montana","94,240","25.56%","34.41%"
"Pickens","Georgia","94,217","25.6%","34.45%"
"Wyoming","Pennsylvania","94,177","25.63%","34.48%"
"Jackson","Oregon","94,170","25.66%","34.52%"
"Clay","Nebraska","94,153","25.69%","34.55%"
"Moody","South Dakota","94,107","25.72%","34.58%"
"Oklahoma","Oklahoma","94,100","25.75%","34.62%"
"Saline","Arkansas","94,089","25.78%","34.65%"
"Park","Wyoming","94,064","25.81%","34.69%"
"Bullitt","Kentucky","94,063","25.84%","34.72%"
"Hardin","Texas","94,057","25.87%","34.76%"
"Yankton","South Dakota","94,056","25.9%","34.79%"
"Iowa","Iowa","94,049","25.94%","34.82%"
"Monongalia","West Virginia","94,045","25.97%","34.86%"
"Converse","Wyoming","93,987","26%","34.89%"
"Waseca","Minnesota","93,960","26.03%","34.93%"
"Carteret","North Carolina","93,931","26.06%","34.96%"
"Hampden","Massachusetts","93,919","26.09%","34.99%"
"Hutchinson","South Dakota","93,830","26.12%","35.03%"
"Duval","Florida","93,813","26.15%","35.06%"
"Shelby","Tennessee","93,795","26.18%","35.1%"
"Rockdale","Georgia","93,791","26.21%","35.13%"
"Colonial Heights city","Virginia","93,743","26.24%","35.16%"
"Gaines","Texas","93,729","26.28%","35.2%"
"Union","Georgia","93,705","26.31%","35.23%"
"Bowman","North Dakota","93,676","26.34%","35.27%"
"Steele","North Dakota","93,665","26.37%","35.3%"
"Union","Indiana","93,659","26.4%","35.33%"
"Douglas","Kansas","93,634","26.43%","35.37%"
"McHenry","North Dakota","93,621","26.46%","35.4%"
"Yuba","California","93,604","26.49%","35.44%"
"Sumter","Florida","93,594","26.52%","35.47%"
"Douglas","South Dakota","93,588","26.55%","35.5%"
"Colusa","California","93,585","26.58%","35.54%"
"Ravalli","Montana","93,574","26.62%","35.57%"
"Spalding","Georgia","93,487","26.65%","35.61%"
"Cook","Minnesota","93,449","26.68%","35.64%"
"Grady","Oklahoma","93,439","26.71%","35.67%"
"Dickson","Tennessee","93,410","26.74%","35.71%"
"Chippewa","Wisconsin","93,401","26.77%","35.74%"
"Autauga","Alabama","93,367","26.8%","35.78%"
"Richland","Montana","93,356","26.83%","35.81%"
"Jasper","Iowa","93,350","26.86%","35.84%"
"Windham","Vermont","93,317","26.89%","35.88%"
"Livingston","New York","93,306","26.92%","35.91%"
"Carson City","Nevada","93,302","26.96%","35.94%"
"Plumas","California","93,296","26.99%","35.98%"
"Hughes","South Dakota","93,294","27.02%","36.01%"
"Ogle","Illinois","93,293","27.05%","36.05%"
"Fremont","Iowa","93,275","27.08%","36.08%"
"Grimes","Texas","93,263","27.11%","36.11%"
"Franklin","Indiana","93,222","27.14%","36.15%"
"Montgomery","Virginia","93,218","27.17%","36.18%"
"Buffalo","Nebraska","93,211","27.2%","36.21%"
"Rush","Kansas","93,181","27.23%","36.25%"
"Kandiyohi","Minnesota","93,123","27.26%","36.28%"
"Cameron Parish","Louisiana","93,121","27.3%","36.32%"
"Medina","Texas","93,117","27.33%","36.35%"
"Augusta","Virginia","93,110","27.36%","36.38%"
"Leon","Florida","93,105","27.39%","36.42%"
"Jasper","Indiana","93,064","27.42%","36.45%"
"Inyo","California","93,044","27.45%","36.49%"
"Guilford","North Carolina","93,015","27.48%","36.52%"
"Campbell","South Dakota","92,987","27.51%","36.55%"
"Rusk","Texas","92,968","27.54%","36.59%"
"Barnes","North Dakota","92,909","27.57%","36.62%"
"Lyon","Minnesota","92,902","27.6%","36.65%"
"Calcasieu Parish","Louisiana","92,900","27.64%","36.69%"
"Winnebago","Wisconsin","92,895","27.67%","36.72%"
"Tipton","Indiana","92,887","27.7%","36.75%"
"Maury","Tennessee","92,848","27.73%","36.79%"
"St. Clair","Illinois","92,847","27.76%","36.82%"
"Charles City","Virginia","92,844","27.79%","36.86%"
"Jo Daviess","Illinois","92,828","27.82%","36.89%"
"Tehama","California","92,809","27.85%","36.92%"
"Salem city","Virginia","92,769","27.88%","36.96%"
"Duchesne","Utah","92,726","27.91%","36.99%"
"Hardin","Kentucky","92,718","27.94%","37.02%"
"Pasco","Florida","92,716","27.98%","37.06%"
"Steuben","Indiana","92,694","28.01%","37.09%"
"Yakutat City and Borough","Alaska","92,687","28.04%","37.12%"
"Marshall","Tennessee","92,668","28.07%","37.16%"
"Bay","Florida","92,641","28.1%","37.19%"
"Clatsop","Oregon","92,615","28.13%","37.23%"
"Cedar","Iowa","92,611","28.16%","37.26%"
"Buchanan","Iowa","92,603","28.19%","37.29%"
"Sheboygan","Wisconsin","92,593","28.22%","37.33%"
"Grant","South Dakota","92,573","28.25%","37.36%"
"Pima","Arizona","92,561","28.28%","37.39%"
"McCracken","Kentucky","92,551","28.32%","37.43%"
"Cowlitz","Washington","92,523","28.35%","37.46%"
"Crow Wing","Minnesota","92,518","28.38%","37.49%"
"Wakulla","Florida","92,491","28.41%","37.53%"
"Polk","Wisconsin","92,480","28.44%","37.56%"
"Mesa","Colorado","92,470","28.47%","37.59%"
"Ray","Missouri","92,398","28.5%","37.63%"
"Decatur","Indiana","92,391","28.53%","37.66%"
"Uintah","Utah","92,354","28.56%","37.7%"
"Lea","New Mexico","92,292","28.59%","37.73%"
"Washington","Iowa","92,270","28.62%","37.76%"
"St. Clair","Alabama","92,258","28.66%","37.8%"
"Portage","Wisconsin","92,252","28.69%","37.83%"
"Hansford","Texas","92,246","28.72%","37.86%"
"Essex","New York","92,245","28.75%","37.9%"
"Brule","South Dakota","92,236","28.78%","37.93%"
"Middlesex","Virginia","92,227","28.81%","37.96%"
"Alachua","Florida","92,218","28.84%","38%"
"Susquehanna","Pennsylvania","92,206","28.87%","38.03%"
"Spink","South Dakota","92,183","28.9%","38.06%"
"Whitley","Indiana","92,181","28.93%","38.1%"
"Ector","Texas","92,177","28.96%","38.13%"
"Yellow Medicine","Minnesota","92,166","29%","38.16%"
"Grant","Minnesota","92,164","29.03%","38.2%"
"Cuyahoga","Ohio","92,131","29.06%","38.23%"
"Platte","Nebraska","92,116","29.09%","38.26%"
"Peoria","Illinois","92,111","29.12%","38.3%"
"Meeker","Minnesota","92,101","29.15%","38.33%"
"Lyon","Nevada","92,100","29.18%","38.36%"
"Hancock","Ohio","92,037","29.21%","38.4%"
"Lincoln","Washington","91,981","29.24%","38.43%"
"Shelby","Ohio","91,960","29.27%","38.46%"
"Howard","Texas","91,958","29.3%","38.5%"
"Golden Valley","North Dakota","91,947","29.34%","38.53%"
"Dillingham Census Area","Alaska","91,943","29.37%","38.56%"
"Lafayette","Missouri","91,942","29.4%","38.6%"
"Shelby","Iowa","91,881","29.43%","38.63%"
"Franklin","Idaho","91,877","29.46%","38.66%"
"Lac qui Parle","Minnesota","91,856","29.49%","38.7%"
"Henry","Illinois","91,842","29.52%","38.73%"
"Rock","Minnesota","91,836","29.55%","38.76%"
"Grand Forks","North Dakota","91,810","29.58%","38.8%"
"Antrim","Michigan","91,809","29.61%","38.83%"
"Bandera","Texas","91,805","29.64%","38.86%"
"Clay","Indiana","91,795","29.68%","38.9%"
"Southeast Fairbanks Census Area","Alaska","91,780","29.71%","38.93%"
"Livingston Parish","Louisiana","91,769","29.74%","38.96%"
"Tyler","Texas","91,760","29.77%","39%"
"Hancock","Mississippi","91,745","29.8%","39.03%"
"Cedar","Nebraska","91,700","29.83%","39.06%"
"Pulaski","Arkansas","91,685","29.86%","39.1%"
"Wichita","Kansas","91,654","29.89%","39.13%"
"Fillmore","Minnesota","91,634","29.92%","39.16%"
"Mower","Minnesota","91,617","29.95%","39.2%"
"Ringgold","Iowa","91,608","29.98%","39.23%"
"Waupaca","Wisconsin","91,598","30.02%","39.26%"
"Sedgwick","Kansas","91,563","30.05%","39.3%"
"Hancock","Maine","91,525","30.08%","39.33%"
"Haskell","Texas","91,500","30.11%","39.36%"
"Mendocino","California","91,472","30.14%","39.4%"
"Churchill","Nevada","91,460","30.17%","39.43%"
"Franklin","Massachusetts","91,453","30.2%","39.46%"
"Beaver","Utah","91,447","30.23%","39.5%"
"Kingsbury","South Dakota","91,414","30.26%","39.53%"
"Logan","Kansas","91,409","30.29%","39.56%"
"Kern","California","91,401","30.32%","39.59%"
"Blue Earth","Minnesota","91,392","30.36%","39.63%"
"Pickaway","Ohio","91,371","30.39%","39.66%"
"Lane","Oregon","91,348","30.42%","39.69%"
"Wasco","Oregon","91,342","30.45%","39.73%"
"Deuel","Nebraska","91,302","30.48%","39.76%"
"Nez Perce","Idaho","91,289","30.51%","39.79%"
"Pembina","North Dakota","91,278","30.54%","39.83%"
"Cole","Missouri","91,246","30.57%","39.86%"
"Adair","Missouri","91,227","30.6%","39.89%"
"Lipscomb","Texas","91,227","30.63%","39.93%"
"Hubbard","Minnesota","91,194","30.66%","39.96%"
"Auglaize","Ohio","91,185","30.7%","39.99%"
"Grant","Arkansas","91,164","30.73%","40.03%"
"Washington","Virginia","91,122","30.76%","40.06%"
"Fond du Lac","Wisconsin","91,108","30.79%","40.09%"
"Trego","Kansas","91,101","30.82%","40.12%"
"Stutsman","North Dakota","91,058","30.85%","40.16%"
"Jefferson Parish","Louisiana","91,025","30.88%","40.19%"
"Erie","Ohio","91,016","30.91%","40.22%"
"Bonner","Idaho","91,015","30.94%","40.26%"
"York","Nebraska","91,015","30.97%","40.29%"
"Logan","Ohio","90,992","31%","40.32%"
"Putnam","Illinois","90,990","31.04%","40.36%"
"Sheridan","Wyoming","90,918","31.07%","40.39%"
"Oconto","Wisconsin","90,916","31.1%","40.42%"
"Saline","Nebraska","90,911","31.13%","40.45%"
"Guadalupe","New Mexico","90,895","31.16%","40.49%"
"Allen","Indiana","90,889","31.19%","40.52%"
"Fremont","Idaho","90,888","31.22%","40.55%"
"Renville","North Dakota","90,874","31.25%","40.59%"
"Bethel Census Area","Alaska","90,872","31.28%","40.62%"
"Forsyth","North Carolina","90,850","31.31%","40.65%"
"McPherson","South Dakota","90,834","31.34%","40.69%"
"Van Zandt","Texas","90,821","31.38%","40.72%"
"Hamilton","New York","90,814","31.41%","40.75%"
"Franklin","Kentucky","90,766","31.44%","40.78%"
"Bossier Parish","Louisiana","90,757","31.47%","40.82%"
"Franklin","Virginia","90,740","31.5%","40.85%"
"Copper River Census Area","Alaska","90,710","31.53%","40.88%"
"Wells","North Dakota","90,709","31.56%","40.92%"
"Deuel","South Dakota","90,704","31.59%","40.95%"
"Sac","Iowa","90,666","31.62%","40.98%"
"Otter Tail","Minnesota","90,657","31.65%","41.01%"
"Mercer","Ohio","90,650","31.68%","41.05%"
"Pottawattamie","Iowa","90,639","31.72%","41.08%"
"Custer","Colorado","90,623","31.75%","41.11%"
"Catoosa","Georgia","90,614","31.78%","41.15%"
"St. Louis","Minnesota","90,610","31.81%","41.18%"
"Brown","South Dakota","90,537","31.84%","41.21%"
"Bernalillo","New Mexico","90,528","31.87%","41.24%"
"Murray","Minnesota","90,524","31.9%","41.28%"
"Pennington","Minnesota","90,522","31.93%","41.31%"
"Nuckolls","Nebraska","90,509","31.96%","41.34%"
"Barrow","Georgia","90,487","31.99%","41.38%"
"St. James Parish","Louisiana","90,475","32.02%","41.41%"
"Asotin","Washington","90,466","32.06%","41.44%"
"Pope","Minnesota","90,462","32.09%","41.47%"
"Freeborn","Minnesota","90,460","32.12%","41.51%"
"Franklin","Missouri","90,460","32.15%","41.54%"
"Beaver","Pennsylvania","90,373","32.18%","41.57%"
"Phelps","Nebraska","90,370","32.21%","41.61%"
"Jasper","Illinois","90,366","32.24%","41.64%"
"Lake","Indiana","90,364","32.27%","41.67%"
"Kosciusko","Indiana","90,354","32.3%","41.7%"
"Mitchell","Iowa","90,326","32.33%","41.74%"
"Henderson","North Carolina","90,317","32.36%","41.77%"
"Lake","Florida","90,299","32.4%","41.8%"
"Kankakee","Illinois","90,248","32.43%","41.83%"
"Jefferson","Oregon","90,220","32.46%","41.87%"
"Knox","Ohio","90,200","32.49%","41.9%"
"Otsego","New York","90,189","32.52%","41.93%"
"Tulare","California","90,157","32.55%","41.97%"
"Harrison","Indiana","90,148","32.58%","42%"
