"county","state","household_count","cum_county","cum_population"
"Ontario","New York","47,684","16.26%","76.22%"
"Gregg","Texas","47,330","16.29%","76.26%"
"Oswego","New York","47,132","16.32%","76.3%"
"Northwest Hills Planning Region","Connecticut","47,035","16.35%","76.33%"
"Wayne","North Carolina","46,888","16.38%","76.37%"
"Ascension Parish","Louisiana","46,773","16.41%","76.41%"
"Jefferson","New York","46,701","16.45%","76.44%"
"Douglas","Oregon","46,677","16.48%","76.48%"
"Androscoggin","Maine","46,632","16.51%","76.52%"
"Lycoming","Pennsylvania","46,201","16.54%","76.55%"
"Delaware","Indiana","46,146","16.57%","76.59%"
"Mercer","Pennsylvania","46,123","16.6%","76.62%"
"Tom Green","Texas","46,094","16.63%","76.66%"
"Highlands","Florida","45,943","16.66%","76.7%"
"Pennington","South Dakota","45,698","16.69%","76.73%"
"Calhoun","Alabama","45,125","16.72%","76.77%"
"Eaton","Michigan","45,115","16.75%","76.8%"
"LaSalle","Illinois","45,092","16.79%","76.84%"
"Albemarle","Virginia","45,064","16.82%","76.87%"
"Allegan","Michigan","44,984","16.85%","76.91%"
"Warren","New Jersey","44,943","16.88%","76.94%"
"Lowndes","Georgia","44,928","16.91%","76.98%"
"Bay","Michigan","44,917","16.94%","77.01%"
"Comanche","Oklahoma","44,718","16.97%","77.05%"
"Miami","Ohio","44,562","17%","77.08%"
"Kendall","Illinois","44,526","17.03%","77.11%"
"Madera","California","44,513","17.06%","77.15%"
"Cape May","New Jersey","44,369","17.09%","77.18%"
"Monongalia","West Virginia","44,361","17.13%","77.22%"
"Wayne","Ohio","44,192","17.16%","77.25%"
"Garland","Arkansas","43,762","17.19%","77.29%"
"Kings","California","43,736","17.22%","77.32%"
"LaPorte","Indiana","43,681","17.25%","77.35%"
"Fayette","Georgia","43,669","17.28%","77.39%"
"Carroll","Georgia","43,598","17.31%","77.42%"
"Flathead","Montana","43,568","17.34%","77.46%"
"Hardin","Kentucky","43,485","17.37%","77.49%"
"Roanoke city","Virginia","43,429","17.4%","77.52%"
"Cowlitz","Washington","43,409","17.43%","77.56%"
"Bonneville","Idaho","43,378","17.47%","77.59%"
"Craighead","Arkansas","43,357","17.5%","77.62%"
"Macon","Illinois","43,334","17.53%","77.66%"
"Platte","Missouri","43,316","17.56%","77.69%"
"Tompkins","New York","43,269","17.59%","77.73%"
"Eau Claire","Wisconsin","43,261","17.62%","77.76%"
"Cache","Utah","43,118","17.65%","77.79%"
"Madison","Mississippi","43,097","17.68%","77.83%"
"Fond du Lac","Wisconsin","43,016","17.71%","77.86%"
"Moore","North Carolina","42,814","17.74%","77.89%"
"Robeson","North Carolina","42,744","17.77%","77.93%"
"Vigo","Indiana","42,595","17.81%","77.96%"
"Houston","Alabama","42,581","17.84%","77.99%"
"Laramie","Wyoming","42,503","17.87%","78.02%"
"Walworth","Wisconsin","42,425","17.9%","78.06%"
"Potter","Texas","42,363","17.93%","78.09%"
"Cass","Missouri","42,311","17.96%","78.12%"
"Franklin","Missouri","42,267","17.99%","78.16%"
"Hanover","Virginia","42,012","18.02%","78.19%"
"Bradley","Tennessee","41,909","18.05%","78.22%"
"Nevada","California","41,873","18.08%","78.25%"
"Terrebonne Parish","Louisiana","41,841","18.11%","78.29%"
"St. Mary's","Maryland","41,743","18.15%","78.32%"
"St. Lawrence","New York","41,732","18.18%","78.35%"
"Craven","North Carolina","41,472","18.21%","78.38%"
"Columbiana","Ohio","41,375","18.24%","78.42%"
"Maury","Tennessee","41,260","18.27%","78.45%"
"Sumter","South Carolina","41,181","18.3%","78.48%"
"Daviess","Kentucky","41,157","18.33%","78.51%"
"San Juan","New Mexico","41,053","18.36%","78.54%"
"Allen","Ohio","40,928","18.39%","78.58%"
"Kankakee","Illinois","40,895","18.42%","78.61%"
"Dallas","Iowa","40,868","18.45%","78.64%"
"Dubuque","Iowa","40,585","18.49%","78.67%"
"Newton","Georgia","40,531","18.52%","78.7%"
"Woodbury","Iowa","40,503","18.55%","78.73%"
"Adams","Pennsylvania","40,411","18.58%","78.77%"
"Burleigh","North Dakota","40,361","18.61%","78.8%"
"Carver","Minnesota","40,231","18.64%","78.83%"
"Cecil","Maryland","40,172","18.67%","78.86%"
"Wicomico","Maryland","40,034","18.7%","78.89%"
"Limestone","Alabama","40,021","18.73%","78.92%"
"Matanuska-Susitna Borough","Alaska","39,682","18.76%","78.95%"
"Portsmouth city","Virginia","39,678","18.79%","78.98%"
"Bartow","Georgia","39,664","18.83%","79.01%"
"Grand Traverse","Michigan","39,596","18.86%","79.04%"
"Madison","Tennessee","39,534","18.89%","79.08%"
"Rockwall","Texas","39,513","18.92%","79.11%"
"DeKalb","Illinois","39,314","18.95%","79.14%"
"Campbell","Kentucky","39,232","18.98%","79.17%"
"Roanoke","Virginia","39,231","19.01%","79.2%"
"Sevier","Tennessee","39,221","19.04%","79.23%"
"Lancaster","South Carolina","39,204","19.07%","79.26%"
"Navajo","Arizona","39,171","19.1%","79.29%"
"Etowah","Alabama","39,160","19.13%","79.32%"
"Northeastern Connecticut Planning Region","Connecticut","39,155","19.17%","79.35%"
"Cabell","West Virginia","39,138","19.2%","79.38%"
"Rockingham","North Carolina","39,018","19.23%","79.41%"
"Ashtabula","Ohio","38,959","19.26%","79.44%"
"Steuben","New York","38,916","19.29%","79.47%"
"Yamhill","Oregon","38,836","19.32%","79.5%"
"Lenawee","Michigan","38,807","19.35%","79.53%"
"Lauderdale","Alabama","38,777","19.38%","79.56%"
"Story","Iowa","38,708","19.41%","79.59%"
"Benton","Oregon","38,286","19.44%","79.62%"
"Wayne","New York","38,222","19.47%","79.65%"
"Tuscarawas","Ohio","38,127","19.51%","79.68%"
"Nash","North Carolina","38,123","19.54%","79.71%"
"Nassau","Florida","38,112","19.57%","79.74%"
"Ozaukee","Wisconsin","37,766","19.6%","79.77%"
"Northumberland","Pennsylvania","37,581","19.63%","79.8%"
"Hunt","Texas","37,549","19.66%","79.83%"
"Pottawattamie","Iowa","37,531","19.69%","79.86%"
"Lafourche Parish","Louisiana","37,397","19.72%","79.89%"
"Cleveland","North Carolina","37,218","19.75%","79.91%"
"Suffolk city","Virginia","37,133","19.78%","79.94%"
"Montgomery","Virginia","36,731","19.81%","79.97%"
"St. Croix","Wisconsin","36,729","19.85%","80%"
"Madison","Kentucky","36,722","19.88%","80.03%"
"Floyd","Georgia","36,688","19.91%","80.06%"
"Josephine","Oregon","36,336","19.94%","80.09%"
"Newport","Rhode Island","36,186","19.97%","80.11%"
"Fairbanks North Star Borough","Alaska","36,176","20%","80.14%"
"Grafton","New Hampshire","36,107","20.03%","80.17%"
"Whitfield","Georgia","36,101","20.06%","80.2%"
"Lawrence","Pennsylvania","36,005","20.09%","80.23%"
"Marshall","Alabama","35,963","20.12%","80.25%"
"Burke","North Carolina","35,873","20.15%","80.28%"
"Dodge","Wisconsin","35,723","20.19%","80.31%"
"Rogers","Oklahoma","35,722","20.22%","80.34%"
"Wood","West Virginia","35,706","20.25%","80.36%"
"Lincoln","North Carolina","35,681","20.28%","80.39%"
"Geauga","Ohio","35,587","20.31%","80.42%"
"Island","Washington","35,529","20.34%","80.45%"
"Bastrop","Texas","35,164","20.37%","80.48%"
"Howard","Indiana","35,129","20.4%","80.5%"
"Putnam","New York","35,054","20.43%","80.53%"
"Manitowoc","Wisconsin","35,033","20.46%","80.56%"
"Walton","Georgia","34,951","20.49%","80.58%"
"Sherburne","Minnesota","34,951","20.53%","80.61%"
"Chemung","New York","34,916","20.56%","80.64%"
"Cascade","Montana","34,909","20.59%","80.67%"
"Guaynabo Municipio","Puerto Rico","34,856","20.62%","80.69%"
"Bowie","Texas","34,801","20.65%","80.72%"
"Monroe","Florida","34,630","20.68%","80.75%"
"Glynn","Georgia","34,625","20.71%","80.77%"
"Midland","Michigan","34,608","20.74%","80.8%"
"Mendocino","California","34,570","20.77%","80.83%"
"Cullman","Alabama","34,543","20.8%","80.85%"
"Grant","Washington","34,502","20.83%","80.88%"
"Lapeer","Michigan","34,479","20.87%","80.91%"
"St. Clair","Alabama","34,477","20.9%","80.93%"
"Jefferson","Wisconsin","34,455","20.93%","80.96%"
"Clallam","Washington","34,377","20.96%","80.99%"
"Frederick","Virginia","34,338","20.99%","81.01%"
"Dougherty","Georgia","34,280","21.02%","81.04%"
"Christian","Missouri","34,256","21.05%","81.07%"
"Muskingum","Ohio","34,243","21.08%","81.09%"
"Victoria","Texas","34,142","21.11%","81.12%"
"Rockdale","Georgia","33,959","21.14%","81.15%"
"Twin Falls","Idaho","33,912","21.17%","81.17%"
"Oconee","South Carolina","33,653","21.21%","81.2%"
"Crawford","Pennsylvania","33,616","21.24%","81.23%"
"Calvert","Maryland","33,485","21.27%","81.25%"
"Buchanan","Missouri","33,398","21.3%","81.28%"
"Bannock","Idaho","33,340","21.33%","81.3%"
"Natrona","Wyoming","33,285","21.36%","81.33%"
"Clinton","New York","33,276","21.39%","81.36%"
"Sutter","California","33,240","21.42%","81.38%"
"Putnam","Tennessee","33,057","21.45%","81.41%"
"Bartholomew","Indiana","32,984","21.48%","81.43%"
"Talladega","Alabama","32,889","21.51%","81.46%"
"Orangeburg","South Carolina","32,880","21.55%","81.48%"
"Wilson","North Carolina","32,860","21.58%","81.51%"
"Caldwell","North Carolina","32,766","21.61%","81.53%"
"Bedford","Virginia","32,698","21.64%","81.56%"
"Walton","Florida","32,659","21.67%","81.59%"
"Henderson","Texas","32,597","21.7%","81.61%"
"Polk","Oregon","32,574","21.73%","81.64%"
"Cape Girardeau","Missouri","32,544","21.76%","81.66%"
"Elmore","Alabama","32,529","21.79%","81.69%"
"Payne","Oklahoma","32,341","21.82%","81.71%"
"Lewis","Washington","32,314","21.85%","81.74%"
"Indiana","Pennsylvania","32,291","21.89%","81.76%"
"Chatham","North Carolina","32,253","21.92%","81.79%"
"Hancock","Indiana","32,246","21.95%","81.81%"
"Angelina","Texas","32,183","21.98%","81.84%"
"Erie","Ohio","32,122","22.01%","81.86%"
"Clearfield","Pennsylvania","32,089","22.04%","81.89%"
"Anderson","Tennessee","32,069","22.07%","81.91%"
"Arecibo Municipio","Puerto Rico","32,053","22.1%","81.94%"
"Rockingham","Virginia","32,048","22.13%","81.96%"
"Wood","Wisconsin","31,942","22.16%","81.99%"
"Orange","Texas","31,847","22.19%","82.01%"
"Lee","Mississippi","31,823","22.23%","82.04%"
"Cattaraugus","New York","31,822","22.26%","82.06%"
"Kosciusko","Indiana","31,747","22.29%","82.09%"
"St. Landry Parish","Louisiana","31,638","22.32%","82.11%"
"Hancock","Ohio","31,618","22.35%","82.13%"
"Franklin","Massachusetts","31,498","22.38%","82.16%"
"Bullitt","Kentucky","31,425","22.41%","82.18%"
"James City","Virginia","31,351","22.44%","82.21%"
"Cayuga","New York","31,334","22.47%","82.23%"
"Clinton","Michigan","31,314","22.5%","82.26%"
"Carteret","North Carolina","31,198","22.53%","82.28%"
"Floyd","Indiana","31,173","22.57%","82.3%"
"Grand Forks","North Dakota","31,045","22.6%","82.33%"
"Broomfield","Colorado","30,921","22.63%","82.35%"
"Chelan","Washington","30,825","22.66%","82.38%"
"Cole","Missouri","30,746","22.69%","82.4%"
"Lewis and Clark","Montana","30,655","22.72%","82.42%"
"Putnam","Florida","30,650","22.75%","82.45%"
"Augusta","Virginia","30,644","22.78%","82.47%"
"Wagoner","Oklahoma","30,565","22.81%","82.5%"
"Cheshire","New Hampshire","30,519","22.84%","82.52%"
"Bulloch","Georgia","30,276","22.87%","82.54%"
"Sullivan","New York","30,215","22.91%","82.57%"
"Vermilion","Illinois","30,185","22.94%","82.59%"
"Van Buren","Michigan","30,101","22.97%","82.61%"
"Warren","New York","30,041","23%","82.64%"
"Liberty","Texas","30,009","23.03%","82.66%"
"Grays Harbor","Washington","29,982","23.06%","82.68%"
"Barrow","Georgia","29,770","23.09%","82.71%"
"Leavenworth","Kansas","29,754","23.12%","82.73%"
"Forrest","Mississippi","29,722","23.15%","82.75%"
"Aroostook","Maine","29,684","23.18%","82.78%"
"Portage","Wisconsin","29,636","23.21%","82.8%"
"Ross","Ohio","29,429","23.25%","82.82%"
"Mayagüez Municipio","Puerto Rico","29,407","23.28%","82.84%"
"Surry","North Carolina","29,366","23.31%","82.87%"
"Franklin","Washington","29,118","23.34%","82.89%"
"Somerset","Pennsylvania","29,071","23.37%","82.91%"
"Raleigh","West Virginia","29,062","23.4%","82.93%"
"Toa Baja Municipio","Puerto Rico","28,988","23.43%","82.96%"
"White","Arkansas","28,945","23.46%","82.98%"
"Klamath","Oregon","28,840","23.49%","83%"
"Crow Wing","Minnesota","28,778","23.52%","83.02%"
"Williamson","Illinois","28,774","23.55%","83.05%"
"Lynchburg city","Virginia","28,687","23.59%","83.07%"
"Scioto","Ohio","28,637","23.62%","83.09%"
"Lauderdale","Mississippi","28,553","23.65%","83.11%"
"Coos","Oregon","28,417","23.68%","83.14%"
"Ward","North Dakota","28,290","23.71%","83.16%"
"Umatilla","Oregon","28,194","23.74%","83.18%"
"Greene","Tennessee","28,093","23.77%","83.2%"
"Yuba","California","28,063","23.8%","83.22%"
"Armstrong","Pennsylvania","28,007","23.83%","83.25%"
"Boone","Indiana","27,948","23.86%","83.27%"
"Marquette","Michigan","27,887","23.89%","83.29%"
"Creek","Oklahoma","27,830","23.93%","83.31%"
"Lonoke","Arkansas","27,817","23.96%","83.33%"
"Adams","Illinois","27,770","23.99%","83.35%"
"Greenwood","South Carolina","27,770","24.02%","83.37%"
"Robertson","Tennessee","27,755","24.05%","83.4%"
"Morgan","Indiana","27,713","24.08%","83.42%"
"Shiawassee","Michigan","27,618","24.11%","83.44%"
"Cumberland","Tennessee","27,447","24.14%","83.46%"
"Franklin","North Carolina","27,442","24.17%","83.48%"
"Allegany","Maryland","27,436","24.2%","83.5%"
"Sauk","Wisconsin","27,425","24.23%","83.52%"
"McCracken","Kentucky","27,287","24.27%","83.55%"
"Blue Earth","Minnesota","27,183","24.3%","83.57%"
"Riley","Kansas","27,137","24.33%","83.59%"
"Jefferson","Ohio","27,127","24.36%","83.61%"
"Carbon","Pennsylvania","27,093","24.39%","83.63%"
"Jackson","Georgia","26,976","24.42%","83.65%"
"Wilkes","North Carolina","26,975","24.45%","83.67%"
"Iberia Parish","Louisiana","26,869","24.48%","83.69%"
"Wayne","Indiana","26,818","24.51%","83.71%"
"Valencia","New Mexico","26,782","24.54%","83.73%"
"Haywood","North Carolina","26,772","24.57%","83.76%"
"Grant","Indiana","26,757","24.61%","83.78%"
"Columbia","Florida","26,720","24.64%","83.8%"
"Lincoln","South Dakota","26,645","24.67%","83.82%"
"Georgetown","South Carolina","26,593","24.7%","83.84%"
"Rutherford","North Carolina","26,589","24.73%","83.86%"
"Pottawatomie","Oklahoma","26,581","24.76%","83.88%"
"Chippewa","Wisconsin","26,567","24.79%","83.9%"
"Spalding","Georgia","26,535","24.82%","83.92%"
"Belmont","Ohio","26,450","24.85%","83.94%"
"York","Virginia","26,445","24.88%","83.96%"
"Lake","California","26,364","24.91%","83.98%"
"Laurens","South Carolina","26,291","24.95%","84%"
"Fauquier","Virginia","26,266","24.98%","84.02%"
"Troup","Georgia","26,222","25.01%","84.04%"
"Walker","Georgia","26,181","25.04%","84.06%"
"Catoosa","Georgia","26,139","25.07%","84.08%"
"Trujillo Alto Municipio","Puerto Rico","26,133","25.1%","84.1%"
"Belknap","New Hampshire","26,118","25.13%","84.12%"
"Coryell","Texas","26,099","25.16%","84.15%"
"Columbia","New York","26,098","25.19%","84.17%"
"Harrison","West Virginia","26,020","25.22%","84.19%"
"DeKalb","Alabama","25,946","25.26%","84.21%"
"Clay","Minnesota","25,939","25.29%","84.23%"
"Pulaski","Kentucky","25,920","25.32%","84.25%"
"Kershaw","South Carolina","25,877","25.35%","84.27%"
"Columbia","Pennsylvania","25,874","25.38%","84.29%"
"Muskogee","Oklahoma","25,792","25.41%","84.31%"
"Hamblen","Tennessee","25,758","25.44%","84.33%"
"Christian","Kentucky","25,676","25.47%","84.35%"
"Harrison","Texas","25,599","25.5%","84.37%"
"Madison","New York","25,563","25.53%","84.39%"
"Washington","Vermont","25,474","25.56%","84.41%"
"Rutland","Vermont","25,448","25.6%","84.43%"
"Herkimer","New York","25,426","25.63%","84.45%"
"Mason","Washington","25,373","25.66%","84.47%"
"Reno","Kansas","25,344","25.69%","84.48%"
"Otter Tail","Minnesota","25,181","25.72%","84.5%"
"Walker","Texas","25,180","25.75%","84.52%"
"Nacogdoches","Texas","25,114","25.78%","84.54%"
"Darlington","South Carolina","25,074","25.81%","84.56%"
"Lamar","Mississippi","25,053","25.84%","84.58%"
"Butler","Kansas","25,025","25.87%","84.6%"
"Hancock","Maine","24,992","25.9%","84.62%"
"Hood","Texas","24,988","25.94%","84.64%"
"Isabella","Michigan","24,942","25.97%","84.66%"
"Washington","Ohio","24,887","26%","84.68%"
"Salem","New Jersey","24,881","26.03%","84.7%"
"Windsor","Vermont","24,873","26.06%","84.72%"
"Walker","Alabama","24,843","26.09%","84.74%"
"Genesee","New York","24,769","26.12%","84.76%"
"Warrick","Indiana","24,697","26.15%","84.78%"
"Lee","North Carolina","24,659","26.18%","84.79%"
"Pittsylvania","Virginia","24,633","26.21%","84.81%"
"Jones","Mississippi","24,600","26.24%","84.83%"
"Wise","Texas","24,581","26.28%","84.85%"
"Lea","New Mexico","24,568","26.31%","84.87%"
"Tehama","California","24,526","26.34%","84.89%"
"Marion","Ohio","24,524","26.37%","84.91%"
"San Patricio","Texas","24,496","26.4%","84.93%"
"Bradford","Pennsylvania","24,487","26.43%","84.95%"
"Sandusky","Ohio","24,452","26.46%","84.97%"
"Pike","Kentucky","24,449","26.49%","84.99%"
"Stanly","North Carolina","24,436","26.52%","85%"
"Mercer","West Virginia","24,413","26.55%","85.02%"
"Barry","Michigan","24,409","26.58%","85.04%"
"Hall","Nebraska","24,406","26.62%","85.06%"
"Jefferson","Arkansas","24,334","26.65%","85.08%"
"Livingston","New York","24,329","26.68%","85.1%"
"Otero","New Mexico","24,285","26.71%","85.12%"
"Washington","New York","24,254","26.74%","85.14%"
"Columbia","Wisconsin","24,231","26.77%","85.16%"
"Colbert","Alabama","24,217","26.8%","85.17%"
"Carter","Tennessee","24,188","26.83%","85.19%"
"Montcalm","Michigan","24,153","26.86%","85.21%"
"Pender","North Carolina","24,152","26.89%","85.23%"
"St. Francois","Missouri","24,113","26.92%","85.25%"
"Pope","Arkansas","24,073","26.96%","85.27%"
"Pike","Pennsylvania","24,009","26.99%","85.29%"
"Garfield","Oklahoma","23,910","27.02%","85.31%"
"Kenai Peninsula Borough","Alaska","23,902","27.05%","85.32%"
"Laurel","Kentucky","23,835","27.08%","85.34%"
"Worcester","Maryland","23,827","27.11%","85.36%"
"Russell","Alabama","23,784","27.14%","85.38%"
"Oxford","Maine","23,694","27.17%","85.4%"
"Carson City","Nevada","23,652","27.2%","85.42%"
"St. Joseph","Michigan","23,610","27.23%","85.43%"
"Chaves","New Mexico","23,605","27.26%","85.45%"
"Effingham","Georgia","23,555","27.3%","85.47%"
"Union","Ohio","23,495","27.33%","85.49%"
"Kauai","Hawaii","23,465","27.36%","85.51%"
"Loudon","Tennessee","23,438","27.39%","85.53%"
"Knox","Ohio","23,435","27.42%","85.54%"
"Huron","Ohio","23,432","27.45%","85.56%"
"Lyon","Nevada","23,423","27.48%","85.58%"
"Liberty","Georgia","23,406","27.51%","85.6%"
"Walla Walla","Washington","23,390","27.54%","85.62%"
"Rice","Minnesota","23,345","27.57%","85.64%"
"Gila","Arizona","23,253","27.6%","85.65%"
"Eddy","New Mexico","23,245","27.64%","85.67%"
"Whiteside","Illinois","23,215","27.67%","85.69%"
"La Plata","Colorado","23,200","27.7%","85.71%"
"Toa Alta Municipio","Puerto Rico","23,111","27.73%","85.73%"
"Hawkins","Tennessee","23,090","27.76%","85.74%"
"Jackson","Illinois","23,088","27.79%","85.76%"
"Garfield","Colorado","23,071","27.82%","85.78%"
"Tooele","Utah","23,050","27.85%","85.8%"
"Crawford","Arkansas","22,994","27.88%","85.81%"
"Ionia","Michigan","22,994","27.91%","85.83%"
"Marion","West Virginia","22,965","27.94%","85.85%"
"Lenoir","North Carolina","22,930","27.98%","85.87%"
"Lowndes","Mississippi","22,829","28.01%","85.89%"
"Lincoln","Oregon","22,829","28.04%","85.9%"
"Tuolumne","California","22,809","28.07%","85.92%"
"Coffee","Tennessee","22,794","28.1%","85.94%"
"Putnam","West Virginia","22,765","28.13%","85.96%"
"Somerset","Maine","22,737","28.16%","85.97%"
"Athens","Ohio","22,722","28.19%","85.99%"
"Otsego","New York","22,608","28.22%","86.01%"
"Fulton","New York","22,607","28.25%","86.03%"
"Van Zandt","Texas","22,555","28.28%","86.04%"
"Franklin","Kentucky","22,548","28.32%","86.06%"
"Tipton","Tennessee","22,544","28.35%","86.08%"
"Roane","Tennessee","22,539","28.38%","86.1%"
"Autauga","Alabama","22,523","28.41%","86.11%"
"Lawrence","Ohio","22,501","28.44%","86.13%"
"Franklin","Virginia","22,484","28.47%","86.15%"
"Oldham","Kentucky","22,457","28.5%","86.17%"
"Lincoln","Missouri","22,420","28.53%","86.18%"
"Waupaca","Wisconsin","22,394","28.56%","86.2%"
"Saline","Kansas","22,299","28.59%","86.22%"
"Kerr","Texas","22,267","28.62%","86.24%"
"Granville","North Carolina","22,176","28.66%","86.25%"
"Taney","Missouri","22,145","28.69%","86.27%"
"Scott","Kentucky","22,119","28.72%","86.29%"
"Washington","Virginia","22,118","28.75%","86.31%"
"Seneca","Ohio","22,099","28.78%","86.32%"
"Carroll","New Hampshire","22,096","28.81%","86.34%"
"Newton","Missouri","22,084","28.84%","86.36%"
"Campbell","Virginia","22,080","28.87%","86.37%"
"Jefferson","West Virginia","21,978","28.9%","86.39%"
"Blount","Alabama","21,977","28.93%","86.41%"
"Nye","Nevada","21,943","28.96%","86.43%"
"Vermilion Parish","Louisiana","21,914","29%","86.44%"
"Cherokee","South Carolina","21,864","29.03%","86.46%"
"Hardin","Texas","21,750","29.06%","86.48%"
"Aguadilla Municipio","Puerto Rico","21,639","29.09%","86.49%"
"Acadia Parish","Louisiana","21,529","29.12%","86.51%"
"Pearl River","Mississippi","21,489","29.15%","86.53%"
"Tuscola","Michigan","21,472","29.18%","86.54%"
"McMinn","Tennessee","21,471","29.21%","86.56%"
"Pickaway","Ohio","21,412","29.24%","86.58%"
"Jefferson","Tennessee","21,351","29.27%","86.59%"
"Venango","Pennsylvania","21,342","29.3%","86.61%"
"Darke","Ohio","21,332","29.34%","86.63%"
"Sampson","North Carolina","21,321","29.37%","86.64%"
"Oktibbeha","Mississippi","21,300","29.4%","86.66%"
"Chisago","Minnesota","21,252","29.43%","86.68%"
"Watauga","North Carolina","21,187","29.46%","86.69%"
"Jackson","Alabama","21,186","29.49%","86.71%"
"Douglas","Nevada","21,096","29.52%","86.73%"
"Dickson","Tennessee","21,092","29.55%","86.74%"
"Cass","Michigan","21,089","29.58%","86.76%"
"McKinley","New Mexico","21,088","29.61%","86.77%"
"Camden","Georgia","21,024","29.64%","86.79%"
"Calumet","Wisconsin","20,975","29.68%","86.81%"
"Eagle","Colorado","20,911","29.71%","86.82%"
"Coffee","Alabama","20,860","29.74%","86.84%"
"Gordon","Georgia","20,841","29.77%","86.86%"
"Knox","Illinois","20,765","29.8%","86.87%"
"Columbia","Oregon","20,710","29.83%","86.89%"
"Ogle","Illinois","20,695","29.86%","86.9%"
"Johnson","Missouri","20,680","29.89%","86.92%"
"Ashland","Ohio","20,654","29.92%","86.94%"
"Washington","Oklahoma","20,596","29.95%","86.95%"
"Grady","Oklahoma","20,540","29.98%","86.97%"
"Grundy","Illinois","20,518","30.02%","86.98%"
"Henry","Virginia","20,503","30.05%","87%"
"Vega Baja Municipio","Puerto Rico","20,482","30.08%","87.02%"
"Apache","Arizona","20,439","30.11%","87.03%"
"Coles","Illinois","20,335","30.14%","87.05%"
"Wayne","Pennsylvania","20,314","30.17%","87.06%"
"Winona","Minnesota","20,288","30.2%","87.08%"
"Halifax","North Carolina","20,269","30.23%","87.09%"
"Henry","Illinois","20,261","30.26%","87.11%"
"Warren","Iowa","20,219","30.29%","87.13%"
"Tioga","New York","20,214","30.32%","87.14%"
"San Benito","California","20,188","30.36%","87.16%"
"Dearborn","Indiana","20,148","30.39%","87.17%"
"Gibson","Tennessee","20,098","30.42%","87.19%"
"Duplin","North Carolina","20,096","30.45%","87.2%"
"Lamar","Texas","20,056","30.48%","87.22%"
"St. Martin Parish","Louisiana","19,963","30.51%","87.24%"
"Grant","Wisconsin","19,913","30.54%","87.25%"
"Hancock","Mississippi","19,911","30.57%","87.27%"
"Chenango","New York","19,800","30.6%","87.28%"
"Dale","Alabama","19,769","30.63%","87.3%"
"Bedford","Pennsylvania","19,763","30.66%","87.31%"
"Charlottesville city","Virginia","19,699","30.7%","87.33%"
"Buffalo","Nebraska","19,662","30.73%","87.34%"
"Windham","Vermont","19,660","30.76%","87.36%"
"Iron","Utah","19,658","30.79%","87.37%"
"Jessamine","Kentucky","19,645","30.82%","87.39%"
"Queen Anne's","Maryland","19,637","30.85%","87.4%"
"Goodhue","Minnesota","19,631","30.88%","87.42%"
"Barron","Wisconsin","19,613","30.91%","87.43%"
"Franklin","Vermont","19,605","30.94%","87.45%"
"Kittitas","Washington","19,601","30.97%","87.47%"
"Bonner","Idaho","19,599","31%","87.48%"
"Burnet","Texas","19,597","31.04%","87.5%"
"Logan","Ohio","19,558","31.07%","87.51%"
"Elko","Nevada","19,546","31.1%","87.53%"
"Edgecombe","North Carolina","19,533","31.13%","87.54%"
"Stephenson","Illinois","19,469","31.16%","87.56%"
"Clinton","Iowa","19,434","31.19%","87.57%"
"Newaygo","Michigan","19,428","31.22%","87.59%"
"Cerro Gordo","Iowa","19,421","31.25%","87.6%"
"Bristol","Rhode Island","19,420","31.28%","87.62%"
"Stokes","North Carolina","19,374","31.31%","87.63%"
"Baxter","Arkansas","19,289","31.34%","87.65%"
"Monroe","Tennessee","19,283","31.38%","87.66%"
"Franklin","New York","19,234","31.41%","87.68%"
"Montgomery","New York","19,234","31.44%","87.69%"
"Columbus","North Carolina","19,227","31.47%","87.71%"
"Lawrence","Indiana","19,156","31.5%","87.72%"
"Boone","Illinois","19,155","31.53%","87.74%"
"Box Elder","Utah","19,150","31.56%","87.75%"
"Beaufort","North Carolina","19,103","31.59%","87.77%"
"Boyd","Kentucky","19,016","31.62%","87.78%"
"Stevens","Washington","18,983","31.65%","87.8%"
"Bedford","Tennessee","18,953","31.68%","87.81%"
"Auglaize","Ohio","18,951","31.72%","87.82%"
"Delaware","New York","18,947","31.75%","87.84%"
"Douglas","Wisconsin","18,947","31.78%","87.85%"
"Siskiyou","California","18,907","31.81%","87.87%"
"Carter","Oklahoma","18,887","31.84%","87.88%"
"Polk","Wisconsin","18,829","31.87%","87.9%"
"Humacao Municipio","Puerto Rico","18,813","31.9%","87.91%"
"Nelson","Kentucky","18,787","31.93%","87.93%"
"Shelby","Ohio","18,786","31.96%","87.94%"
"Ravalli","Montana","18,779","31.99%","87.96%"
"Cortland","New York","18,768","32.02%","87.97%"
"Hoke","North Carolina","18,763","32.06%","87.99%"
"St. Mary Parish","Louisiana","18,705","32.09%","88%"
"Starr","Texas","18,692","32.12%","88.01%"
"Marinette","Wisconsin","18,640","32.15%","88.03%"
"Danville city","Virginia","18,632","32.18%","88.04%"
"St. Charles Parish","Louisiana","18,622","32.21%","88.06%"
"Culpeper","Virginia","18,584","32.24%","88.07%"
"Polk","Texas","18,575","32.27%","88.09%"
"Itasca","Minnesota","18,510","32.3%","88.1%"
"Lafayette","Mississippi","18,510","32.33%","88.12%"
"Mifflin","Pennsylvania","18,502","32.36%","88.13%"
"Navarro","Texas","18,484","32.4%","88.14%"
"Curry","New Mexico","18,471","32.43%","88.16%"
